Cleaned_Dialogue,Song Recommendations
phoebe told already knew,Toxicity
another lie sickness,Duality
left shoe,Bleed
whoawhoawhoa,Chop Suey!
yeah i’m gonna pass ‘cause kinda iffy waspuppies,Bad Liar
found denise leaving town whilei don’t roommate,Ain't No Rest for the Wicked
well maybemaybe could roommate pheebs,Alors on danse - Radio Edit
maybe could roommate,Snow (Hey Oh)
would great wait long denise gone,Take on Me
umm said she’d back december 26,Don't Panic
okay rach but…,Bleed
op you’re peeping,Toxicity
look you’d two failed marriages you’d understand,Eye For an Eye
time said break,Toxicity
nauh responsible babies,New Rules
see that’s think you’re wrong we’ve beenplaying babies man man really playing zone defense,It's My Life
mean,Toxicity
sounds really great maybe charge wiping,It's My Life
shocking since still keys,Heaven and Hell - 2008 Remaster
see treatment get i’m car people arefriendly theythey wanna talk car one guy gave advice aboutmy equity investments,I Feel It Coming
oh yeah got soap sponges rags carnuba wax polishingcompound,Alors on danse - Radio Edit
don’t even car,B.Y.O.B.
know umm one time really dirty car front ofthe building washed,Heaven and Hell - 2008 Remaster
that’s city get 160 take herupstate,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack"
really oh uh oh give five minutes,Trndsttr
whatwhat,Heaven and Hell - 2008 Remaster
oh ii uh found keys i’m polishing,Boss Bitch
listen iii don’t come city much idon’t know you’re crazy kind street theater could ihave keys,Bad Liar
don’t know nervous don’t knowwhy frank alice always complaining easy,Animals
chandler thing put someone’s eye,Raining Blood
destroy universe,goosebumps
chandler swallow one little parts also lookat smooth area that’s gonna mess,All We Know
they’re gonna swallow anything guys way overprotective kid mom used throw pile broken glass,New Rules
oh look little leslie stretching sleep,Young Dumb & Broke
swallowed sonic blaster gun,Beautiful Alien (feat. AI AM) - Radio Edit
okay two asking court annulment,Bad Liar
based petition seeking annulment groundsthat mr geller mentally unstable,Toxicity
fine i’m mentally unstable,Build God
based fact mr geller intravenous drug user,Toxicity
uh yes heroin crack,B.Y.O.B.
crack isn’t even intravenous drug,Then We'll Talk
also says lied sexual preference beforemarriage,Duality
finally unable consummate marriage well thatmakes sense since you’re gay addicted heroin,Somebody That I Used To Know
okay i’m sorry insane iii’m addicted heroini’m gay,Chop Suey!
won’t necessary,Astronaut In The Ocean
ugh,Ain't No Rest for the Wicked
two involved serious relationship reallycreates problem,Middle Of A Breakup
well based heard two certainly don’t qualify anannulment two don’t want together you’ll file divorce,Royals
need get chambers,The Pot
right look lady deal came annulment iam leaving get one,American Idiot
would like spend night jail,Toxicity
uh loved way feels everybody thinks iown porsche,Ride
people think porsche you’re wearing theclothes,Royals
course idiot would wear stuff didn’t thecar right,Royals
joey know don’t actually one,Toxicity
ahh think moved it’s really poking,Monster
can’t can’t leave themwe’re babysitting,Paranoid - 2012 - Remaster
babies asleep i’m sure you’ll okay fora,Hall of Fame (feat. will.i.am)
youyou can’t leave wewe’re teamwe’re playing zone they’re gonna triple team,Monster
he’s got something plastic lodged throat we’ve got togo hospital,Sign of the Times
doctor won’t able help it’s justgonna y’know naturally pass system like seven years,Bad Liar
think that’s gum,Kaer Morhen
okay listen really hurts let’s go,Ain't No Rest for the Wicked
totally fault,American Idiot
fault threatened judge,Friction
well ripped paper court reporter’s machine,Symphony Of Destruction - Remastered 2012
taking care problem huh guys feel safe rightokay i’m gonna take spit bubble yeah,Often
oh god,Hail to the King
know babies asleep,Hall of Fame (feat. will.i.am)
mess,I Write Sins Not Tragedies
picked divorce papers uh i’ve already signed everythingand put little ‘x’s need sign,Young Dumb & Broke
y’know ii—you’ve done lot stupid stuff okay,American Idiot
oh name one stupid thing stupid one,Symphony Of Destruction - Remastered 2012
okay ross we’re—wait minute umm uh kinda alittle confession,Into the Unknown - Panic! At The Disco Version
excuse,Chop Suey!
well remember drunk remember anything night wewere married,Heat Waves
know always thought got married would onethat stuck wouldn’t secret wouldn’t wedding dinnerat,PILLOWTALK
may depressing thing i’ve heard life shouldprobably get lawyer’s office,All We Know
eh problem,Not Afraid
i’m gonna need copy,Dance Off (feat. Idris Elba & Anderson .Paak)
uhhuh know i’m coming soon theater near i’m inthx i’m unsuitable children,Fivio Foreign & Darkoo]
like haven’t done enough,Symphony Of Destruction - Remastered 2012
want come sit ‘cause i’lldo,Symphony Of Destruction - Remastered 2012
sent home work like start maternityleave rest,Young Dumb & Broke
said didn’t want go,Toxicity
don’t would still like acknowledged justbecause i’m pregnant think i’m invisible,Symphony Of Destruction - Remastered 2012
definitely invisible,Moves Like Jagger
well well ross didn’t care enough think he’sout snooze lose,B.Y.O.B.
he’s snoozing he’s teaching class,Calm Down
haven’t seen dress,Toxicity
well uh…i think want take chandler,Dance Off (feat. Idris Elba & Anderson .Paak)
you’re never actually going pay back,Middle Of A Breakup
wait minute paid head shots you’regonna take joey don’t think you’re comprehending slutty thisdress,Build God
it’s stuff paid mean it’sit’severything y’know read lines hehe went auditions wasreally nervous consoled didn’t get parts reallywanted always believed man even even didn’t believe,Fix You
mon maybe one guys wants wear dress,Bleed
don’t know ii think it’s still gonna,Don't Panic
stop double nothing tomorrow,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
she’s bathroom,Free Bird - Edit
people ask we’re together don’t know totell,Rain
uh wanna go change first doctor’s keeping officeopen late us hurry…,Play with Fire (feat. Yacht Money)
uhhuh,Hall of Fame (feat. will.i.am)
carol pregnant ben…,Señorita
…were irritating,Toxicity
excuse,Friction
oh nothing nothing uh you’ve little short melately i’m trying irritate,Chop Suey!
y’know doctor soon don’t speakuntil,I Dunno (feat. Dutchavelli & Stormzy)
y’know probably ask doctor even knows todeliver baby that’s half human half pure evil,Monster
drugs,goosebumps
eight days late huh,I Write Sins Not Tragedies
eh tad,Lose Yourself
you’ve got kidding,In Waves
oh nonono give specifics,I Dunno (feat. Dutchavelli & Stormzy)
give us ideas induce labor,Houdini (feat. Swarmz & Tion Wayne)
yeah tried went walk uh tried special teacaster oil spicy food nothing worked,Bad Liar
well it’s gonna help bring babyhere like today mean think,Holy Wars...The Punishment Due - 2004 Remix
i’m saying it’s really long time meanwomen needs get,Wrong
oh ii don’t know think two youhad sex thethethe repercussions would catastrophic,Heaven and Hell - 2008 Remaster
monica matter,I Bet My Life
nothing want baby born today,Bonfire
well i’m miserable might well make money,Middle Of A Breakup
wait minute i’m betting three,Chop Suey!
tried call want talk istill feel bad,Symphony Of Destruction - Remastered 2012
i’m sorry,Don't Let The Light Go Out
uhhuh look reason settle things betweenus okay you’ve done lot career wanted pay back tookyou premiere missed okay much owe,Killing In The Name
give number don’t want owe anything,The Pot
don’t owe anything don’t want money…,Really Love (feat. Craig David & Digital Farm Animals)
don’t know five hundred dollars,Don't Panic
well second set infamous booger head shots,Hotel California - 2013 Remaster
want calculator,Free Bird - Edit
well uh acting classes stage combat classes tapclasses…,Calm Down
uh dialect coach helped playwhere needed southern accent twenty hours lessons still came outjamaican,Toxicity
okay two three years rent utilities food…,In Waves
okay okay i’m writing check for…so fell asleepduring movie big deal right clear thing,Toxicity
feeling nothing speaking hot watching really makesme want sex,Heat Waves
stop,Symphony Of Destruction - Remastered 2012
oh come ross wasting time stuff weknow what’s gonna work it’s doctor recommended,Royals
i’m sorry boundaries god i’mdying,Cirice
insane i’m gonna make love thatyou’ll go labor,Toxicity
come ross i’m miserable come started nowyou finish come wuss make love,Rolling in the Deep
forget,I Write Sins Not Tragedies
oh nono think water broke,Beautiful Alien (feat. AI AM) - Radio Edit
didn’t uh really time read part books butdo think time to…,Bad Liar
that’s i’m done don’t care baby comes nomore betting,B.Y.O.B.
wait you’re going kathy,Beautiful Alien (feat. AI AM) - Radio Edit
yeah getting upset,Bad Liar
right look think it’s time settle yknowmake choice pick lane,Astronaut In The Ocean
yeah ooh like yeah wait know about‘bahbahbhabhan’,Beautiful Alien (feat. AI AM) - Radio Edit
yeah little high school really got incollege mean that’sthat’s really found sound,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack"
oh god orange juice came nose totally worthit oh god completely forgot sound,Organ Variation
used lock basement hours one everyallowed hear sound,Heaven and Hell - 2008 Remaster
really mean nah haven’t played long andand wellit’sit’s really personal stuff y’know,Northern Downpour
really bitchin’,Orinoco Flow
really mean really,All We Know
yeah mean play public,Orinoco Flow
mean like music,Inside Out
nono he’s back yet he’ll minute souh come seat bow stern,The Ballad of Mona Lisa
uh don’t really preference,Kaer Morhen
broke parkway walk back get sometransmission fluid hey listen could please tell kathy i’ll assoon,Royals
can’t tell,Wrong
joey joey,Someone In The Crowd
thought time ran,Heaven and Hell - 2008 Remaster
guess it’s uh,Don't Panic
oh appointment get haircut…,Free Bird - Edit
…and got canceled,Middle Of A Breakup
well could cut,Astronaut In The Ocean
yeah course learned aunt’s dog grooming shop buthey say,Dance Off (feat. Idris Elba & Anderson .Paak)
dog grooming huh okay don’t make tail poofy,Young Dumb & Broke
yes yeah joey great hair umm i’m basically done justlet get neck,Alors on danse - Radio Edit
whatwhat ‘cha doin’,Heaven and Hell - 2008 Remaster
listen uh i’m really sorry looks like i’m gonna stuckhere got transmission fluid went put car thetransmission wasn’t,Toxicity
yeah must’ve fallen blocks back figured hita dog,Bleed
listen uh could put kathy wanna apologize,Nothing Else Matters
forgot purse,Bleed
really forget purse,Toxicity
nononono bad it’s bad bad,Sign of the Times
horrible,Middle Of A Breakup
wait uh kiss situation,Chop Suey!
that’s bad,B.Y.O.B.
ooh yes okay here’s wewe forget happened,High Hopes
i’m sorry wanna pretend nothing happened try,Ain't No Rest for the Wicked
can’t follow ross it’d like bicycle ridding chimpsthat followed,Heaven and Hell - 2008 Remaster
phoebe ross sucks,Duality
phoebe place emptied,Middle Of A Breakup
okay umm phoebe suck,B.Y.O.B.
yeah phoebe you’re… awful,Duality
oh nonono,Blackwater Park
well y’know i’m 29 mean needs savings account,Hall of Fame (feat. will.i.am)
oh don’t know,Free Bird - Edit
mean casey,No Time for Caution
nono kathy,Kaer Morhen
y’know think think somebody’s got little crush oncasey ‘bout fix two think,Play with Fire (feat. Yacht Money)
pieces life falling right place,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
oh thanks thanks monica tells uh don’t want toplay anymore yknow talent true,Chop Suey!
yeah ii can’t—i mean y’know trying reallyyknow okay upbeat just—i feel dwarfed musical gifti…,Nothing Else Matters
see pheebs thatthat exact opposite intent musicy’know music isis meant inspire bothers much i…i won’t play anymore,All We Know
oh nonono don’t could live iknew depriving world music,Cirice
thethe sad thing told felt youkissed knowing joey probably would’ve stepped aside,Middle Of A Breakup
oh don’t say don’t say that’s true isit,Heaven and Hell - 2008 Remaster
didn’t tell,Toxicity
listen ah joe ii need need talk something,Bad Liar
it’sit’s kathy umm uh like like lotactually,Sugar Soaker
well you’re timing couldn’t better she’s mygirlfriend anymore,Middle Of A Breakup
oh uh,Nearly Witches (Ever Since We Met...)
oh man sorry okay,Cirice
yes ii uh don’t,Build God
well thought would best thing,It's My Life
hey listen know might you’re work cut outfor ‘cause talked kinda got feeling she’s intosome guy so…,American Idiot
yeah mean late last night kathy got totalking one thing another and…,Chop Suey!
sleep,Friction
that’s even worse,Friction
worse,Chop Suey!
don’t know it’s,Bleed
look i’m sorry there’s nothing thinki’m love,Ain't No Rest for the Wicked
you’re right excuses totally line,Chop Suey!
line youyou’reyou’re far past line thatyouyou can’t even see line line dot,Duality
yes yes right feel horrible believe,Sign of the Times
probably because…,Bleed
oh god he’s lost he’s totally lost,Monster
yeah mean help,The Ballad of Mona Lisa
played bad purpose guys,Bad Liar
okay trying play bad whole time,Bad Liar
oh god can’t believe little brother married,Rock You Like A Hurricane
guys didn’t tell eloping,Bleed
‘cause sorta happened y’know thecourthouse lunch…,Don't Panic
wait wait courthouse,Toxicity
we’ve trying get pregnant uh pretty much ever since gotengaged thought we’d get jump things y’know one’s getting anyyounger,Sandstorm
yeah theyand say ourthat chance babyis take sperm egg put together dish put intoanother girl wondering could girl could put,Señorita
don’t know donald trump wants blue blazer black,Bad Liar
blue blazer back hehe wants back,I Dunno (feat. Dutchavelli & Stormzy)
youyou said black would want blue blazer black,Chop Suey!
messed you’re stupid,Symphony Of Destruction - Remastered 2012
well tour guide don’t dinosaurexpert something,Build God
uh actually joey it’s cretasous period,Not Afraid
guess frank jr alice got married,We Are Young (feat. Janelle Monáe)
oh god,Beautiful Alien (feat. AI AM) - Radio Edit
ewww oh it’s—they want thesurrogate it’s herit’s egg sperm,goosebumps
huh,Bad Liar
yeah like you’re gonna pregnant mean pregnant,Unsainted
pheebs you’re talking putting body awful loti mean morning sickness uhh labour it’s somebody else,I Bet My Life
yknow guys lot supportive wanted make denimfurniture,The Hardest Part
yeah honey maybe talk somebody who’s baby likeyour mom,Astronaut In The Ocean
jealous,Middle Of A Breakup
right haven’t sex yet okay what’s bigdeal y’know special want love grow move thenext level,Bonfire
he’s right i’m totally lying,New Rules
you’re afraid won’t able to…fill shoes,Sign of the Times
i’m afraid won’t able make love well,Cirice
big deal joey’s lot girlfriends doesn’tmean he’s great bed,All We Know
isn’t mastodon pliocene epic,Kaer Morhen
i’m sorry i’m late,I Write Sins Not Tragedies
oh ooh oh didn’t know did…pot,Heaven and Hell - 2008 Remaster
ooh erotiery,Bonfire
really don’t think it’s good idea phoebe,Psychosocial
nonono thethe puppy’s,ZT (3x3)
well yeah mean yeah three days,Into the Unknown - Panic! At The Disco Version
right i’m sorry,Nothing Else Matters
mean dr geller,Don't Panic
doctor wow didn’t know nickname,Beautiful Alien (feat. AI AM) - Radio Edit
well howhow come,Chop Suey!
that’s crazy,Bleed
ii think everybody’s pretending don’t hear anywaylook don’t know jackets separate tables ross isone best friends save seat i’m telling,Royals
hey it’s mean scientists tour guides,Can't Hold Us (feat. Ray Dalton)
whatever,B.Y.O.B.
eat alley everybody hates,The Hills
yeah we’re audience doesn’t talk us hedoes wave,Bleed
ooh y’know think it’s time puppy go againcome let’s go balcony,Alors on danse - Radio Edit
uhoh bad,Sign of the Times
fine y’know didn’t agree asstrongly agreed joey like see point,Toxicity
look help okay mean know awoman y’know know everything goes it’s always nice need toknow makes go nice god somebody’s killing inthere,Heaven and Hell - 2008 Remaster
look don’t draw actual wo—whoa she’shot,Immigrant Song - Remaster
oh y’knowy’know looking upside,Bleed
thatthat’s bad,Bleed
well might anything like 7,Can't Hold Us (feat. Ray Dalton)
right uh important thing take time want hit‘em mix ‘em gotta keep toes,The Ballad of Mona Lisa
yknow work museum natural history yet somethingunnatural way eat lunch look around cafeteria y’knowwhat see seei see division division people white coats people inblue blazers ask god,The Sound of Silence
i’m andrew didn’t pay pear,Royals
need flip light switch 17 timesbefore leave room family die,Heaven and Hell - 2008 Remaster
mom’s gonna minute can’t ican’t give yes—no don’t want,Heaven and Hell - 2008 Remaster
oo can’t watch it’s like,All We Know
y’know never saw,Toxicity
ooh can’t mom right can’tif ican’t give there’s way give baby ohh god frank andalice gonna crushed whatwhat else else give ‘em—akidney,Middle Of A Breakup
uhh neighbourhood so…,Toxicity
yeah thought we’d stop let know there’sstill pressure,Not Afraid
oh ooh umm,Beautiful Alien (feat. AI AM) - Radio Edit
oh god think i’m gonna cry,Immigrant Song - Remaster
nonono know different people though isa totally different situation know gonna regret,Can't Hold Us (feat. Ray Dalton)
oh iii understand it’s just—that mypuppy,Demons
would ever surrogate anyone,Play with Fire (feat. Yacht Money)
depends asked,Toxicity
huh,Toxicity
phoebe need support haven’t told himi’m pregnant yet,LA Devotee
‘cause know he’s gonna flip hate he’sangry,Monster
phoebe wait one time caught smoking said ever sawme he’d make eat entire pack,Monster
oh god monica he’s stripper bacheloretteparty,Beautiful Alien (feat. AI AM) - Radio Edit
thought weren’t gonna bachelorbachelorette partiesy’know agreed silly tradition,I Dunno (feat. Dutchavelli & Stormzy)
i’m sorry surprised nothing could,Paranoid - 2012 - Remaster
well could’ve untied hands,New Rules
unfair one thing wanted throw best friend abachelor party wasn’t allowed got stupid steak dinner,Ain't No Rest for the Wicked
can’t believe didn’t tell,Symphony Of Destruction - Remastered 2012
ugh,I Write Sins Not Tragedies
order everyone moroccan chicken,LA Devotee
oh ii don’t eat meat,Hall of Fame (feat. will.i.am)
it’s chicken,Heaven and Hell - 2008 Remaster
yeah don’t eat either,B.Y.O.B.
well actually umm…,Lose Yourself
he’s right though ’74 absolute piss,Ain't No Rest for the Wicked
huge mistake can’t tell phoebe ican’t can’t can’t can’t…,Cirice
get mad baby,Duality
idea went bathroom sweetie startingto tell uh new,Houdini (feat. Swarmz & Tion Wayne)
it’s slang pregnant,Toxicity
really pregnant,Chop Suey!
gotta get going,Don't Panic
uh mona how’s going,Young Dumb & Broke
well i…i haven’t actually told yet don’t want toscare y’know,Cirice
i’m gonna take book beat death,Symphony Of Destruction - Remastered 2012
honey that’s crazy don’t want get astripper…,Duality
look appreciate uh it’s little creepy y’knowi’m bachelor anymore,B.Y.O.B.
don’t think bachelor party think a…atwo month anniversary present,Enemy (with JID) - from the series Arcane League of Legends
please feel bad watch hot woman get naked,One of the Drunks
ah nonono ross ross joey embarrassing enough,Ain't No Rest for the Wicked
uh actually sorry can’t even make i’m seeing mona againtonight,Play with Fire (feat. Yacht Money)
understand would cancel actual date go fake bachelorparty,Build God
i’m sorry won’t able make imaginarywedding i’m,Psychosocial
know know panicked panicked didn’t want startyelling like ’74 latour,Monster
i’m sorry daddy,Done for Me (feat. Kehlani)
don’t believe,Friction
stay calm expect stay calm unacceptablerachel wanna know punk ross won’t marry youthat’s,Chop Suey!
yes yes says i’m damaged goods,Rolling in the Deep
uh nervous getting married,Bonfire
feel knowing you’re never gonna another womanagain huh knowing you’re gonna wake face everyday youfinally sweet release death,Eye For an Eye
uh thatthat’sthat’s,Up&Up
weird,Toxicity
whywhy would go bedroom,Raining Blood
i’m waiting,Attention
uh that’s eighteenth century indian artifact calcutta,Immigrant Song - Remaster
oh god oh god i’m sorry,Raining Blood
aw forget it’s,B.Y.O.B.
think knock daughter marry heri’m gonna kill,Nightmare
come explain geller first get rachelpregnant,Toxicity
got rachel pregnant,Unsainted
oh really that’s daughter means nothing,Somebody That I Used To Know
sir umm means lot mean care—ii loverachel,Heaven and Hell - 2008 Remaster
oh really that’s treat friend get trouble andthen refuse marry,Eye For an Eye
well spend time tramp,B.Y.O.B.
tramp,Radioactive
i’m sorry dr green mona mona dr green,Kaer Morhen
can’t believe naked hooker,All We Know
wait wait maybe she’s hooker,Toxicity
funny maybe birthday she’ll murder someone,Play with Fire (feat. Yacht Money)
bet ross mean conveniently busy,Chop Suey!
mind smoke,Don't Panic
oh actually i’d rather you…yeah go ahead we’re gonnahave burn room anyway,Toxicity
going tell but…,Bad Liar
figured you’d get wanted dumpher like dumped rachel,American Idiot
iiii—i need need lie,Nightmare
problem who’s party,Waterloo
hired husband hooker,Bleed
she’s hooker,The Sound of Silence
call strippers sometimes,Heaven and Hell - 2008 Remaster
they’re hookers,Toxicity
oh god stu ii can’t believe youabsolutely sure she’s hooker,Radioactive
maybe meant get hooker,Bad Liar
maybe wants learn something huh anythingyou’re really bad y’know sexually,Toxicity
worst bachelor party ever,Killing In The Name
what’s taking boys long,Psychosocial
right right maybemaybe ask leave,Bad Liar
don’t want,Chop Suey!
miss,Plastic Heart
don’t think we’ve actually done,Bonfire
ii miss hanging,Sleepwalking
oh sure—and hey don’t get wrong happy guysi just…i miss…hanging out…justjust us y’know,Skyfall
ross i’m sorry okay ii promise straighten thisout tomorrow person via email,Hall of Fame (feat. will.i.am)
don’t care dad care mona nowshe’s totally freaked,Monster
oh okay i’ll fix what’s email address,Royals
that’s call fight come abreak weren’t happened two,Chop Suey!
oh good you’re yeah worried going beuncomfortable,Safe To Say
trying date woman,Dance Off (feat. Idris Elba & Anderson .Paak)
probably shouldn’t touch,Nightmare
y’know iii just…i don’t want get middle ofsomething complicated,Toxicity
leave open,The Ballad of Mona Lisa
i’m sure yet didn’t tell,Bleed
what’s going rachel nothing feelabout,Free Bird - Edit
yeah well still shoulda told,Toxicity
know going thought better heard itfrom rachel’s father look i…i made mistake it’s ireally really like really,Chop Suey!
swear didn’t know hooker mean wh—did lether smoke,Bleed
ass print still grandmother’s quilt reallywant talk smoking,B.Y.O.B.
monica wait,Treat You Better
what’s final head count baby shower,Thunder
also sisters called neither make,I Bet My Life
mean they’re coming social event wherethere’s men there’s booze that’s shocking don’t careas long mom’s,Immigrant Song - Remaster
oh god mother,Hail to the King
well given forgot invite would awfully bigcoincidence,Bleed
well wasn’t fault phoebe charge invitations,Duality
don’t know,Toxicity
know daughter’s told received theirimpromptu invitations month ago,Into the Unknown - Panic! At The Disco Version
yeah i’m sorry i’mi’m sorry,Don't Let The Light Go Out
isn’t three,Hall of Fame (feat. will.i.am)
oh can’t go i’m practicing got audition thehost new game show,Dance Off (feat. Idris Elba & Anderson .Paak)
audition’s couple hours don’t even understandthe game,Chop Suey!
well want help,Whatever It Takes
okay guess lose junior high girls time,Royals
bamboozled,Toxicity
yeah isn’t cool name,E1 (3x3)
said little bit ross chandler,Bad Liar
it’s bagota close enough either pass turnto ross pick wicked wango card,New Rules
know let’s see one moment please umm weare wicked wango card determines whether go higher lower,Nearly Witches (Ever Since We Met...)
higher lower,Chop Suey!
i’m sorry don’t believe contestants allowed talk toeach,Toxicity
ordered stripper shower totally inappropriate,Unsainted
she’s still mad,Rolling in the Deep
yeah know isn’t great one less person make smalltalk,Psychosocial
phoebe sandra’s mad itit doesn’t bother,Bleed
look we’ve apologized twice can’t anymore thati know hate people mad okay,Duality
look face like high school ididn’t know better i’d say cheerleader trouble come onlet’s get tea,Party Monster
oh look three weeks go picked yournanny yet don’t want use housekeeper ‘cause would justsplit focus,Play with Fire (feat. Yacht Money)
oh well actually gonna use nanny uh don’t even ahousekeeper,Then We'll Talk
it’s like you’re cave person rachel must get ananny don’t know overwhelming going mean ababy full time help mrs kay,Smells Like Teen Spirit
whwhwhat,Chop Suey!
right ross you’re lead would like take anotherquestion spin wheel mayhem,The Ballad of Mona Lisa
okay gonna tough hold breath,Don't Panic
okay fear suffer phobiatris…holy cow that’s big word trisc… seriously look thingchandler say,Raining Blood
triscadecaphobia,goosebumps
fear number 13,goosebumps
fear,Cirice
wait minute ii believe i’m entitled use angel pass afree turn,New Rules
y’know you’re upset you’re losing,Symphony Of Destruction - Remastered 2012
oh come ross think we’re losers,All We Know
right chandler either spin wheel pick google card,Smooth Criminal - 2012 Remaster
let think let think—oh don’t care,Bleed
choose jackass,Chop Suey!
don’t think contestants supposed speak eachother,Bad Liar
wants move ross help take care baby,Young Dumb & Broke
long,Heat Waves
eight weeks mean love mother god long lunch heris taxing,Pull Me Under
can’t hear,Middle Of A Breakup
well don’t want mother move tellher,Royals
well uh don’t gift wasn’t inviteduntil last minute thank much bringing everyone’sattention,I Write Sins Not Tragedies
less important people let’s open presents,Body (Remix) [feat. ArrDee
mom that’s okay didn’t get gift,Hold
hamster going vacuum baby,Bleed
okay come rach it’s present time y’know you’re theglue that’s holding whole party together it’s kinda falling apart,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
oh dispenses clean diapers,We Are Young (feat. Janelle Monáe)
it’s put dirty ones,Bad Liar
well that’s gross don’t take outside andthrow dumpster,Duality
plus planning baby you’retrotting garbage ten times day,Toxicity
tell time turtle,Rock You Like A Hurricane
shut,Symphony Of Destruction - Remastered 2012
correct forgot switch legs questions nohopping bonus,Young Dumb & Broke
nooo,Sign of the Times
umm you’re gonna stay long need,Smooth Criminal - 2012 Remaster
oh mom swear i’m idiot i’ve read kinds bookson pregnancy giving birth ii didn’t think read part whatto baby comes andand guess baby’s coming idon’t know oh throw diaper genie,Paranoid - 2012 - Remaster
waitwait going going,Monster
i’m going bathroom,New Rules
uh,Toxicity
correct would like pick wicked wango card spin wheelof mayhem,Thunder
uh joey didn’t agents give revised rules we’veeliminated wheel cards,Royals
what—why,Chop Suey!
uh well game complicated research showed peopledidn’t follow,Bad Liar
yeah that’s gone it’s basically simple question andanswer game,Bleed
well what’s fun expect host boringgame that’s people standing around answering questions,All We Know
well we…we don’t garage,I Bet My Life
say garage meant garbage,Bad Liar
well rachel needs help baby,Calm Down
really don’t know anything,Nearly Witches (Ever Since We Met...)
oh pheebs monica know anything babies,Chop Suey!
it’s frightening,Paranoid - 2012 - Remaster
well uh y’know even doesn’t know anything ihave son mother didn’t live together whenever itook care time,Treat You Better
another woman control ross,Duality
that’s different issue uh point baby comes iwill to…to feed bathe change wantto things,Señorita
well really don’t need live,Middle Of A Breakup
yes yes you’re gonna missed,Flashback
oh nononono sweetheart stay put i’ll let outit’s like i’m almost wasn’t,Middle Of A Breakup
yeah mean want say anything i’d tell,American Idiot
uhhuh,I Feel It Coming
spiteful,Radioactive
yeah couldcouldcould get something drink,Psychosocial
uh put elbow,Royals
full dry back loose covers,Free Bird - Edit
check it’s wet check it’s hungry burp,Symphony (feat. Zara Larsson)
card card pick card,Dance Off (feat. Idris Elba & Anderson .Paak)
leave,Rolling in the Deep
leave…,Rolling in the Deep
wait ii said leave,Toxicity
yeah know good words get getit’s,Far Too Young to Die
phoebe come thats silly,New Rules
pleasewait,Immigrant Song - Remaster
phoebe come finish later cause wanna go runningbefore gets dark oh dont come,Blinding Lights
lets run towards,You Just Haven't Thought of It Yet
wait minute took words,Middle Of A Breakup
didnt nail boxes floor,Toxicity
didnt know well pretty last name,Cake By The Ocean
uh whwhere ya,V
uh whauh,Heaven and Hell - 2008 Remaster
well think ill go unpack,Strawberry Swing
joey even interview woman asked move,Bad Liar
uhhuh exactly ask,Toxicity
unbelievable,Immigrant Song - Remaster
ugh cannot wait ask,Sandstorm
wait minutejoey joey cant ask shes roommateititll way complicated,Chop Suey!
right think remember going withthat girl donna guys broke remember horrible guys bumpedinto supermarket,Wake Me up When September Ends
imagine,Moves Like Jagger
nono,Toxicity
yeah better watch flirting cause know suchclose quarters could trouble,Royals
well thats gonna tough mon mean hard around anattractive woman flirt,Animals
tie shoe go ahead ill catch,Hall of Fame (feat. will.i.am)
guys im telling runs looks like cross betweenkermit frog six million dollar man,Rock You Like A Hurricane
monica crush yeah used kiss poster everynight went bed,Him & I
oh used,Party Monster
phoebe runs weird huh,Toxicity
yeah yeah know know shes gonna wanna run justdont know get mean live,Heaven and Hell - 2008 Remaster
dont straight tell truth,New Rules
pheebs monica tripped dont think ever run ever,Cirice
dont know rachel imim sorry hurt ankles,Somebody That I Used To Know
ankle,Don't Panic
yeah bad right know monica’s gonna workinglate im gonna make place spotless know else im gonna know whatelse im gonna im gonna go downstairs im gonna get flowers whowouldnt wanna live,Paradise
yeah hows going though okay notflirtingthing,Toxicity
sorry theres room,Calm Down
whats wrong,Heaven and Hell - 2008 Remaster
oh sorry stuff hanging mythongs delicate dryer,Don't Panic
phoebe wasno know actually justchecking see could run,Confidence
wait phoebe,Free Bird - Edit
get monicas authorization move stuff,Bad Liar
authorization dont need im gonna put everything back,It's My Life
put back,Bad Liar
shes gonna care put stuff back stupid place,B.Y.O.B.
hmm know actually thisll work well cause moveback joey joeys hot new roommate come live,Snow (Hey Oh)
see see yyyoure trying freak,Heaven and Hell - 2008 Remaster
look chandler monica really weird kind stuff rightbelieve lived 16 years going freak…out oh godshes going sit,Nightmare
terrible ifif want something done right myselfother people wreck stuff really think might kill someone tonight,Paranoid - 2012 - Remaster
oh come come cant bad,Chop Suey!
worse thing thats getting knowing imgonna seeing soon think may even try get early,Every Teardrop Is a Waterfall
nononononono sounds like really need,Cirice
yeah thatthat doesnt look right,Bleed
whoa whoa back couch wont line back ofthe carpet,Then We'll Talk
yes coffee table doesnt matchtheblahebdmsdlkhdyslkdbtydsrooosss,Chop Suey!
nonono ive seen happen youyou get rapport going woman butsomehow manage kill whats secret,Ain't No Rest for the Wicked
look repel women ok completely untrue,Royals
