Cleaned_Dialogue,Positive/Negative,Song Recommendations
oh rachel i’mi’m sorry,Negative,Nothing Else Matters
y’know gotta tell ya really put better mood,Negative,People of The Pride
oh god he’s gonna come borrow candles bigdate,Negative,Bonfire
nono rachel don’t get can’t see us,Negative,Paranoid - 2012 - Remaster
yeah groom cannot see bride,Negative,The Ballad of Mona Lisa
couldn’t worse spent eight hours calling lastnight trying get talk,Negative,Politik
oh wow eight hours could probably really use one thoseplugin telephone headsets huh,Negative,Déjà-Vu
speaking christmas umm since monica starting newbusiness like money umm year maybe could secret santa thenwe buy one gift andand there’s added mystery gets,Negative,Thunder
well i’m gonna take nap turkey makes sleepy,Negative,Pumped Up Kicks
hey chance either pick uh rachel secret santa‘cause wanna trade,Negative,Trndsttr
wow want get rid badly,Negative,Bleed
well maybe could give somebody else ooh like ross geller,Negative,Trndsttr
op yknow though it’s kind’ve girlie briefcase,Negative,Bleed
don’t ross joey aren’t canwatch parade want,Negative,Strawberry Swing
monica got ice eye hurts,Negative,Nothing Else Matters
oh y’know can’t really kills,Negative,All We Know
well maybe put ice,Negative,Don't Panic
ooh god looks bad,Negative,All We Know
eye doctor richard can’t go don’thave boyfriend,Negative,Rain
he’s really picky patients,Negative,Royals
right i… gotta call mom ask left handed cookingquestion,Negative,Dance Off (feat. Idris Elba & Anderson .Paak)
listen ah picked monica secret santa i’m alreadygetting something chanukah wondering wanna switch,Negative,LA Devotee
oh y’know already trying trade ah well,Negative,Bad Liar
don’t know rg thinking something girlie youroffice,Negative,Toxicity
yeah well maybe phoebe switch,Negative,Wait and Bleed
oh nonono don’t want you’re gonnaget stuck rachel exchanges every gift ever gets,Negative,Killing In The Name
last time saw wear,Negative,Heaven and Hell - 2008 Remaster
i’m sending back stuff chandler bought guilt,Negative,Middle Of A Breakup
listen joey know wrong don’t think youcould least hear guy,Negative,Painkiller
right weren’t best friend,Negative,Ain't No Rest for the Wicked
oh god really bad,Negative,Heaven and Hell - 2008 Remaster
walk room won’t even talk mumblessomething italian,Negative,Build God
thought chandler umm one overthere,Negative,Chop Suey!
oh nonono dr burke dr burke town thethe oncalldoctor see,Negative,Laid to Rest
oh uh whenwhen coming back,Negative,Kaer Morhen
don’t know might stay days look anapartment,Negative,Don't Panic
yeah y’know first thought could talk y’knowwork uh seeing two together don’t think i…,Negative,Then We'll Talk
hey look want say want say thati’ll stop seeing,Negative,Toxicity
hey look know friend justi screwed,Negative,I Bet My Life
yeah that’s i’m leaving,Negative,Hurricane
guy robbing us locked entertainment unitfor like six hours know time thinking abouthow let,Negative,Cirice
yeah would’ve know kind friend gonna turnout wouldn’t worried much see around,Negative,I Bet My Life
last time saw morning left college werejust standing outside,Negative,Sleepwalking
well you’ve got little scratch cornea gonna towear patch couple days,Negative,Royals
sheshe wasn’t ready serious commitment,Negative,Bleed
you’re wearing patch yet,Negative,Toxicity
hey come phoebe understand don’t,Negative,Royals
yeah see i’d best shot i’msorry think it’s twisted,Negative,I Bet My Life
ewwwww ew ew ew,Negative,B.Y.O.B.
hey yknow mon things wrong richard’s sonyou’d able tell kids slept grandfather,Negative,All We Know
huh well maybe uh changed,Negative,Sugar
well isn’t better exchanged something enjoyand get lot use,Negative,Sparks
like ‘em like ‘em i’d like get store credit forthat amount like ‘em,Negative,Nearly Witches (Ever Since We Met...)
let show okay towels hanging next sinkand umm use fancy soap,Negative,Not Afraid
yeah monica actually want relationship youcan actually use phrase that’s dad used,Negative,Nearly Witches (Ever Since We Met...)
doesn’t sound like thinking,Negative,Toxicity
y’know don’t think talking ithink you’ve got much thinking talking making jokes,Negative,B.Y.O.B.
sure oh joey’s got mashed potatoes want exchangethem,Negative,Someone In The Crowd
there’s nothing matter see i’m completelydevoid sentiment see feelings,Negative,Royals
can’t tell i’m trying break tension bymooning guys,Negative,Can't Feel My Face
right look big joke forget itall right means something doesn’t mean anything thenyou get otherwise you’re idiot box,Negative,Toxicity
y’know ii thought gonna weird mean almost called andcanceled really isn’t,Negative,Blinding Lights
know mean it’s like dad that’s totallyseparate thing,Negative,Bleed
nonono good uh goood kiss…,Negative,I Feel It Coming
oh god didn’t remind of…,Negative,Hail to the King
hey listen want know sorry am…,Negative,Don't Let The Light Go Out
well i’m still sorry,Negative,♾
oh hehe can’t talk right,Negative,Bad Liar
he’s trying show joey much means,Negative,🪐
right got chandler ‘cause uh need trade,Negative,Bad Liar
uhh that’s i’m gonna go call police,Negative,Cirice
y’know uh didn’t actually,Negative,Toxicity
uh honey know don’t like relinquish control…,Negative,Holy Wars...The Punishment Due - 2004 Remix
oh relinquish fancy word lose,Negative,Duality
yes distinctly remember ‘cause thought joke nowjust give chance okay,Negative,Chop Suey!
oh god eric hi wait how’d get number,Negative,Immigrant Song - Remaster
uh listen just—i thought know broke ursula,Negative,Sign of the Times
anyway wondering sort person who…eatslunch,Negative,Play with Fire (feat. Yacht Money)
asking ‘cause would kinda weird since youjust broke sister,Negative,Bleed
yeah uh…okay i’mi’m sorry bye,Negative,I Write Sins Not Tragedies
uhh won’t take answer,Negative,Astronaut In The Ocean
well haven’t discussed yet know he’sgonna relieved last week brought girl started talking aboutmorning sickness showed pictures pregnancy book,Negative,Rock You Like A Hurricane
hey y’know you’re looking place heardin elevator morning woman building died,Negative,Blackwater Park
oh god old view,Negative,Immigrant Song - Remaster
well see oh maybe shouldn’t mean diedthis morning respect,Negative,Way down We Go
ii heard mrs verhoeven passing away i’m sorry yourloss,Negative,Don't Let The Light Go Out
y’know would it’s painful,Negative,I Bet My Life
hmm think—could tell she’s hanging aone bedroom two,Negative,Cotton Eye Joe
oh well umm make it’s two parts ammonia one partlemon juice secret ingredient is…y’know,Negative,Cotton Eye Joe
okay uhh i’m gonna go get clothes laundry room nowand come back i’ll clean behind refrigerator,Negative,Lose Yourself
stole pants came back wore frontof,Negative,Chop Suey!
don’t see it’s perfect crime,Negative,You Just Haven't Thought of It Yet
prove okay week ago wearing jeansand dropped pen lap left ink stain crotch comesback find show stain,Negative,Animals
honey isn’t possible company sold jeansmade one pair,Negative,Don't Panic
shouldn’t go give benefit doubt wego…snooping around crotch,Negative,Bad Liar
yeah shaky angry way though,Negative,Duality
sorry saw ursula give engagement ring back,Negative,Schism
i’m sorry just…when look see see iget little bit angry,Negative,Hurricane
okay ii stop place first,Negative,Dance Off (feat. Idris Elba & Anderson .Paak)
tape game every time ross you’re,Negative,Build God
oh you’re switching apartments,Negative,Free Bird - Edit
guess didn’t really think,Negative,Bad Liar
i’m sorry i’ve never maid okay,Negative,Heaven and Hell - 2008 Remaster
honey it’s matter put mean babychanges everything cry time mean imagine bringing home girl andtrying score there’s screaming baby around,Negative,Middle Of A Breakup
could use challenge it’s getting pretty easy,Negative,There's a Good Reason These Tables Are Numbered Honey
honey it’s sweet want stay ii can’tdo mean would disrupt entire life,Negative,Cirice
ooh oh go massage appointment,Negative,LA Devotee
got trouble i’ll see later,Negative,Painkiller
hey umm think brenda needs raise,Negative,Royals
getting position everything went dark,Negative,Toxicity
god stealing us okay let go,Negative,Fortunate Son
here’s plan okay i’m going leave get look atbrenda’s bra,Negative,LA Devotee
fear jury see way,Negative,Monster
oh don’t know would,Negative,Bad Liar
well memory pretty much gone,Negative,Skyfall
don’t know i’m still pretty tired afternoon,Negative,I Bet My Life
well didn’t sex sex someone thatlooked awful lot like…,Negative,Build God
uh little bit shesheshe walked thought ikissed and…,Negative,Heaven and Hell - 2008 Remaster
oh ew ew ew ugh y’know weird,Negative,Heaven and Hell - 2008 Remaster
nono it’s don’t want lose it’sit’slike saying ursula making love thought wasyou—yeah weird,Negative,Monster
yes it’s flown blouse you’d better undo yourbuttons lest sting,Negative,Raining Blood
look know must hard wife lesbian it’swrong you’re married,Negative,The Hills
right took figured would okay got abig ink stain crotch,Negative,Astronaut In The Ocean
joey baby going crying it’s going loud,Negative,Paranoid - 2012 - Remaster
reactor’s gonna blow three seconds we’re never gonnamake,Negative,Cirice
you’ve got get save,Negative,Cirice
y’know think that’s enough yeah don’twant rehearsed,Negative,Don't Panic
well don’t get hopes probably gonna happen,Negative,Kaer Morhen
mean come guys tv show don’t know ifi’m good enough,Negative,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
ugh even ask question,Negative,B.Y.O.B.
yeah oh shes really nice taught towork cameras smellthefart acting,Negative,Buni
play al pacinos butt right goes shower andthen im butt,Negative,Into the Unknown - Panic! At The Disco Version
wait minute thing pretend didn’tgo well really go well,Negative,Toxicity
i’m nervous y’know callback isn’t untiltomorrow five feel like head going explode,Negative,Blood and Thunder
there’s much pressure mean offense guysdo different don’t know you’d understand,Negative,Paranoid - 2012 - Remaster
yeah none us deal pressure jobs,Negative,Heaven and Hell - 2008 Remaster
alright well im tearing lettuce,Negative,Don't Panic
ohoh dont worry im gonna wash,Negative,Hall of Fame (feat. will.i.am)
well thought would cut tomatos,Negative,Free Bird - Edit
sure havent gone bad youre sure theyre veryvery bad,Negative,Bleed
oh boy scouts couldve camped,Negative,Sandstorm
simple mistake could happen anyone,Negative,Whatever It Takes
nownow calm come look office stillbe trash,Negative,Hall of Fame (feat. will.i.am)
want part much y’know don’t get parti’m never gonna eat,Negative,Don't Threaten Me with a Good Time
we’re supposed meet parents 15 minutes,Negative,Bonfire
yes haha right hey cool would could watch likea real lifesized version huh mean crazy would,Negative,Collar Full
well maybe fix y’know maybe send somesomebigbig flowers scare,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
could chandler part could’ve turned mywhole career around,Negative,Duality
messed okay i’m sorry really messed,Negative,Somebody That I Used To Know
hey don’t even live anymore answeringmy phone machine,Negative,Chop Suey!
bought ya taught ya use thought acopier look anything could would okay everybody’sallowed one mistake right,Negative,Then We'll Talk
know coulda gotten vcr coulda gotten set ofgolf clubs get woman repeller eyesore theliberace house crap,Negative,Symphony Of Destruction - Remastered 2012
oh yeah easy say dont walk aroundsporting reject mr collection,Negative,Symphony Of Destruction - Remastered 2012
pity fool puts jewelry pity thefool hi,Negative,Lose Yourself
yeah mean late last night kathy got totalking one thing another and…,Negative,Paradise
you’re right excuses totally theline,Negative,I Bet My Life
line youyou’reyou’re far past linethat youyou can’t even see line line dot,Negative,Toxicity
hell happened locked wherethe hell stuff,Negative,Toxicity
well guy came look unit andand said hedidn’t think big enough fit grown man,Negative,Duality
tryin’ make sale oh man ever run thatguy know i’m gonna,Negative,I Write Sins Not Tragedies
ok remember trading get pretty one get mess,Negative,Royals
shes checking coats joey im gonna go wash cabsmell hands get white zinfandel glass red janice,Negative,Often
oh come said going inseam ran hishand leg definite,Negative,Duality
thats pants ross tell isnt howthey measure pants,Negative,Chop Suey!
think he’ll ever forgive,Negative,Mr. Brightside
already that’s pretty bad,Negative,The Hills
didn’t see mad y’know,Negative,Are You Dead Yet?
yeah girl copy place yesterday tookfull responsibility,Negative,In Waves
didn’t know taking full responsibility okay ididn’t finish whole letter,Negative,Chop Suey!
yknow can’t believe even,Negative,Bad Liar
ok well wouldnt let finish jus ow hurt,Negative,Duality
goyou know prison guys would belike bitches,Negative,Animals
okay buddyboy hide clothes im wearing everythingyou,Negative,Symphony Of Destruction - Remastered 2012
actor playing mac couldn’t needed see 2o’clock,Negative,I Dunno (feat. Dutchavelli & Stormzy)
dudui wrote wrote board wrote boardthen went new york city looking ya went ross’s went thecoffeehouse went place made sandwiches,Negative,Play with Fire (feat. Yacht Money)
sorry iii don’t know say,Negative,Toxicity
y’know sometimes fake thing mean,Negative,B.Y.O.B.
oh wow okay man i’m sorry mean make feel bad,Negative,Kaer Morhen
come cheese i’m leaving without try routing yourbackup source primary cpu,Negative,Hotter Than Hell
explosion okay hearing would impaired,Negative,goosebumps
um well going iii really um somewhere justout nowhere didn’t,Negative,Toxicity
haven’t told wouldn’t happy,Negative,Body Moves
well um mainly um don’t like i’m sorry,Negative,♾
maybe used aloof you’re reallysarcastic y’know joke around time take yourclothes throw couch,Negative,Heaven and Hell - 2008 Remaster
don’t like don’t like,Negative,Middle Of A Breakup
look know should’ve told know shouldn’tcare think i’m sorry,Negative,Don't Let The Light Go Out
well monica told don’t,Negative,Bad Liar
dunno maybe it’s you’re really sarcastic maybeit’s cause uh,Negative,Then We'll Talk
go chandler’s none us knows howto cook we’ll probably end drinking day,Negative,Strawberry Swing
ifif mess there’s nothing else dessert,Negative,Nightmare
well it’s done two minutes looks like,Negative,Royals
whoa whoa whoa where’re goin’,Negative,Bleed
oh oh say we’d stop little thing joey’sroommate,Negative,Blinding Lights
oh butbut uh it’s like first thanksgiving whenthe indians pilgrims uh sat dinner,Negative,Jaykae & Aitch]
yeah yeah indians taught pilgrims meant hot inthe new world,Negative,Hotter Than Hell
dad chandler laughing joke,Negative,A Million Dreams
yeah dreamt saved burning building sobrave strong it’s making look totally differently y’knowi mean used y’know “jack geller monica ross’s dad”and he’s he’s “jack geller dream hunk dunno y’know he’ll always “jack geller,Negative,Really Love (feat. Craig David & Digital Farm Animals)
rach you’re killin’ us ya serve dessert alreadythose drunken dancers waiting,Negative,One of the Drunks
it’s truffle it’s got layers firstthere’s layer ladyfingers layer jam custard made fromscratch raspberries ladyfingers thenbeef sauteed peas onions thena little custard bananas put whipped cream top,Negative,C'mon - Single Version
wwhat one right bananas,Negative,Attention
beef yeah weird y’know ithought “well there’s mincemeat pie” mean that’s englishdessert people put strange things food y’know oh way borrow rum place,Negative,Heaven and Hell - 2008 Remaster
know one layer jam,Negative,Build God
oh god pages stuck together,Negative,Duality
oh god sheshe made half english trifle half asheperd’spie,Negative,Cotton Eye Joe
let serve beefcustard thing,Negative,Bleed
joey god apartment like hundred degrees,Negative,Bad Liar
okay think might know parents don’t like,Negative,Build God
okay remember young hey spring break sophomore year gothigh bedroom parents walked smelled told hadgotten stoned jumped window,Negative,I Feel It Coming
don’t know aheh your’s first name thatthat poppedinto head i’m i’m sorry ii didn’t think would matter,Negative,Bleed
supposed know we’d end friends collegelet alone youyou would living sister,Negative,Immigrant Song - Remaster
don’t know ii high,Negative,Build God
parents caught ross smoking pot college blamed onme,Negative,Symphony Of Destruction - Remastered 2012
ross can’t believe you’d,Negative,Radioactive
reason haven’t told we’re together becausethey hate okay fix,Negative,Cirice
okay okay i’ll tell ‘em wasn’t chandler got highnow say,Negative,Bad Liar
it’s like it’s big deal youyou don’t stilldo anything,Negative,Chop Suey!
dad please don’t pick teeth alright ifyou’re gonna put feet don’t sit,Negative,Then We'll Talk
well you’re whippin’ slow can’t faster,Negative,Symphony Of Destruction - Remastered 2012
joey come don’t wanna make mistakes alright isthe dessert screw everybodys gonna like “oh remember thatthanksgiving rachel screwed trifle”,Negative,Attention
oh uh wait second joey tell parents something noit can’t okay,Negative,Toxicity
okay look think tell rachel messed dessert,Negative,Bad Liar
everybody it’s thanksgiving nottruthday,Negative,Bleed
hey rach talk outside second,Negative,Don't Panic
don’t think us getting back together good idea,Negative,Ain't No Rest for the Wicked
thought might happen today ross know holidays berough y’know it’s probably really hard alone right,Negative,Don't Let The Light Go Out
ii live phoebe mean you’re,Negative,Toxicity
yeah i’m gonna pay acting classes anymore,Negative,Painkiller
joey you’re gonna stop rushing know youdon’t get dessert,Negative,Symphony Of Destruction - Remastered 2012
i’m kidding would never okay everybodyit’s trifle time,Negative,Alors on danse - Radio Edit
rach traditional english trifle isn’t,Negative,I Feel It Coming
oh oh oh wait got whipped cream ya gotta take abite layers,Negative,Someone In The Crowd
op wait dropped pea,Negative,We Are Young (feat. Janelle Monáe)
bird grabbed tried fly away andand dropped street,Negative,Chop Suey!
dunno let’s see okay dreamt gonna getmarried left becuz go fight fire um okay went nightclub saw making girl,Negative,Bohemian Rhapsody
five minutes ago line like would’ve floored nownothing well nothing still woman,Negative,Royals
oh yeah telling mom dad thinking maybe writing aletter,Negative,The Ballad of Mona Lisa
dad y’know mailman got fired didn’tsteal playboys ross,Negative,In Waves
yeah well hurricane gloria didn’t break porch swing monicadid,Negative,Symphony Of Destruction - Remastered 2012
ross hasn’t worked museum year,Negative,B.Y.O.B.
ross married rachel vegas got divorced,Negative,Flashback
ii uh got tricked things,Negative,The Sound of Silence
well actually ii didn’t eat mine it’s still thebathroom,Negative,Bleed
got wedding ordered weeks ago finally gothere,Negative,Play with Fire (feat. Yacht Money)
pheebs didn’t get us anything wedding youalready sang…,Negative,Hold
didn’t know put left,Negative,Bad Liar
oh well maybe put guest bedroom,Negative,Don't Panic
well ii really don’t remember name,Negative,Nearly Witches (Ever Since We Met...)
oh hey rach listen umm…,Negative,We Are Young (feat. Janelle Monáe)
sure naming lot ways postpone sex i’ll tell ya…,Negative,Build God
ooh miss dating gettin’ dressed going fancyrestaurant i’m gonna able long it’s much funi mean sitting home worrying giving birth sixteen pound baby notfun,Negative,Flowers
joey don’t want go date pregnant lady,Negative,Heaven and Hell - 2008 Remaster
yes ahh oh would look monica knocked offall top scores sad,Negative,Middle Of A Breakup
oh i’m sorry didn’t hear winning,Negative,Hips Don't Lie (feat. Wyclef Jean)
cares it’s stupid game,Negative,All We Know
think it’s stupid suck,Negative,American Idiot
don’t suck it’s sucks suck,Negative,B.Y.O.B.
wait okay game gonna cause problems two youthen maybe keep,Negative,Bleed
want play game bad,Negative,Needled 24 / 7
yeah it’s like spits,Negative,Buni
ah yes he’s protective you’d better watchyourself,Negative,Lose Yourself
oh yeah must tough keep hands huh,Negative,B.Y.O.B.
nononono he’s trying ruin game comeon,Negative,Toxicity
thatthat’s way cross town i’m supposed teacha graduate seminar ten minutes,Negative,Paranoid - 2012 - Remaster
emmm instead vegetables anyway substitutethe threepound lobster,Negative,Toxicity
don’t know guess there’s always distancey’know—i mean try pretend it’s,Negative,Ain't No Rest for the Wicked
you’re watching walk away,Negative,21 Guns
well clearly wasn’t showering shaving,Negative,Bad Liar
wait minute stayed home day played,Negative,Middle Of A Breakup
well i’ve playing like eight hours it’ll loosenup come check scores oh also look initials they’re dirtywords,Negative,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
well y’know give three letters ass itis bit challenge,Negative,Chop Suey!
hey wait minute one isn’t dirty,Negative,Immigrant Song - Remaster
ah well don’t clear won’t getting oneof ben’s coming tomorrow play game thiscan’t,Negative,Chop Suey!
come won’t even know mean,Negative,Whatever It Takes
chandler he’s seven he’s stupid,Negative,Astronaut In The Ocean
oh come pick one monica phoebe chandler ross ifyou would punch,Negative,Chop Suey!
yeah don’t know look i’m awonderful time,Negative,Alors on danse - Radio Edit
joey think everyone saw wine come nose,Negative,Savage Love (Laxed - Siren Beat)
gotta say never knew could enjoy nonsex part date somuch,Negative,Paradise
right don’t judge normally wait dateleaves live i’m ripping swan,Negative,Rock You Like A Hurricane
can’t tell anyone uh…i put shiny lip balm,Negative,Blinding Lights
…you 50 minutes late class crawl,Negative,In Waves
ran really far people stop understanding thephrase get hell way,Negative,Heaven and Hell - 2008 Remaster
well didn’t take cab,Negative,Then We'll Talk
ugh traffic time day oneway streetsit’ll take twice long besides teach class three times week irockefeller,Negative,Toxicity
well okay don’t they’ll take class awayfrom and…i already put family newsletter,Negative,Heaven and Hell - 2008 Remaster
oh yeah still can’t believe haven’t seen,Negative,Bonfire
yeah know it’s really boring it’s like big dealanyway thinking renting,Negative,LA Devotee
well don’t big date tonight,Negative,Sandstorm
date last night feel little weird,Negative,Heat Waves
yeah mean sick night,Negative,I Bet My Life
really come didn’t cross paths,Negative,Toxicity
yeah well that’s uh…i stayed room yeah youdon’t want look hamper,Negative,Bleed
okay got i’ll escape i’ll come back overhere right come,Negative,Smooth Criminal - 2012 Remaster
chandler sucks couldn’t gotten good,Negative,In Waves
hey right seem little distracted,Negative,Free Bird - Edit
ew y’know one time saw guy behind heseemed like totally normal guy turned around stephan baldwin,Negative,Wake Me up When September Ends
hey get part they’re trapped car andcujo’s throwin’ windshield,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
seriously what’s wrong dog wait minute whatare home early happened date,Negative,Toxicity
oh uh didn’t work,Negative,Middle Of A Breakup
oh want watch rest movie,Negative,Blinding Lights
yeah mom used put head oven well actually onlydid one time pretty weird,Negative,Build God
okay need vacuum it’s closet lefthandside ah garbage bags next refrigerator…,Negative,Heaven and Hell - 2008 Remaster
okay ‘cause that’s gonna get annoying,Negative,I Bet My Life
ohhh wanna come give hug wish luck onyour wedding don’t—can’t get,Negative,Green Eyes
soso come don’t come,Negative,LA Devotee
yeah well gotta work i’m sorry,Negative,I Bet My Life
whywhy can’t take couple days,Negative,Wrong
can’t ross told can’t,Negative,Build God
oh need hug don’t bring anything,Negative,Hold
okay see little version kill,Negative,Raining Blood
…and 10 o’clock caterer rang saidit going chicken kiev instead chicken tarragon florist phonedto say aren’t tulips oh chilliest carpeltunel syndromewe’re gonna be…,Negative,Ain't No Rest for the Wicked
umhmm doesn’t sound delicious last minute,Negative,Thunder
come take care need anything,Negative,Often
oh don’t know guess,Negative,Bleed
i’m bummed way left things ross ishouldn’t lied work seemed mad,Negative,Nothing Else Matters
oh good yeah neither,Negative,Bad Liar
oh ross doesn’t know anything,Negative,Bad Liar
oh believe didn’t tell,Negative,Friction
guys market we’ve got uh scarvestulip post cards,Negative,Blinding Lights
well don’t buy i’m stupidtshirt anymore,Negative,New Rules
answer i’m pretending don’t know,Negative,Then We'll Talk
he’s jealous you’ll fit right londoners wearthem,Negative,You Just Haven't Thought of It Yet
monica talking andand upset hallbeing knocked suggested put wedding bit,Negative,Middle Of A Breakup
thing understand postponing option iswhen we’re getting married,Negative,Smooth Criminal - 2012 Remaster
there’s ‘or’ mind wrong pants,Negative,Sugar
yeah need bring photos ross,Negative,Collar Full
ooh one things throw bag somegraveyard dirt hang northfacing tree,Negative,Toxicity
uh hiccups yeah pictures youthe water chocolate didn’t feel like getting okayi’m gonna show picture ross okay you’re going remember ofthe bad things right really focus flaws,Negative,Royals
don’t know uh hair never really bothered muchand y’know always crunchy greasy,Negative,Hotel California - 2013 Remaster
okay going harder thought umm let’s trysome uh aversion therapy,Negative,Painkiller
nonono y’know really shouldn’t said youwere embarrassing mean really wasn’t cool makes feel anybetter i’ve really lousy day,Negative,Middle Of A Breakup
joey says don’t really like hat think it’skinda dashing,Negative,A Million Dreams
i’m gonna go bathroom,Negative,Not Afraid
heyhey since you’re ‘fixit’ lady here’s apickle bride says doesn’t want wedding atall,Negative,Chop Suey!
don’t know told stupid put wedding justbecause hall gone liked flipped,Negative,Rolling in the Deep
oh god you’re even dumber,Negative,B.Y.O.B.
idea thatthat pillowcase thing thought guys werejust flying nun,Negative,Heaven and Hell - 2008 Remaster
come gotta help figure okay,Negative,I Dunno (feat. Dutchavelli & Stormzy)
hey joey hey ooh ooh say someone the—that looks justlike subway gonna go say ‘hi’ ifigured doesn’t care looks like,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
cost four bucks uh listen called see thechick duck,Negative,Hotel California - 2013 Remaster
right seven us miss,Negative,Sweet Child O' Mine
okay butbut imagine lot lights okay andand y’know fewerbricks andandand flowers candles…,Negative,C'mon - Single Version
don’t know starts rain…,Negative,Heaven and Hell - 2008 Remaster
ohh don’t even date,Negative,Someone You Loved
yeah it’s guys’ apartment sink,Negative,Schism
mean you’re going london,Negative,Chop Suey!
i—rachel can’t go ross loves emily,Negative,Middle Of A Breakup
he’s love british chippy look rachel ifyou go you’re gonna mess head ruin wedding y’knowit’s late missed you’re chance i’m sorry know must bereally hard it’s,Negative,Rolling in the Deep
listen y’know sir last time don’t care whatthe computer says take bag mashuga nuts minibar notwatch dr domealittle,Negative,American Idiot
oh joey uh room last night,Negative,goosebumps
i’ll tell go get developed gohome,Negative,Hey Look Ma
ross never checked room minute,Negative,Painkiller
yeah that’s sad mashuga nut,Negative,Then We'll Talk
yes remember right cut cake went isaid…,Negative,I Feel It Coming
they’re gone monica’s gonna freak,Negative,Monster
whew although y’know part salt pepper set imean… guess y’know may count half present think,Negative,Bad Liar
hey feelin’ morning sickness,Negative,Collar Full
shhshhshh guys don’t know yet,Negative,Bonfire
joey ross don’t know anything chandler still thinksthat phoebe’s pregnant,Negative,Painkiller
ooh someone building tall guy firstfloor,Negative,Take on Me
wow y’know weird mean you’re gonna tell guytoday idea what’s gonna happen,Negative,Trndsttr
pretty big it’s huge god guy doesn’t cluehe’s walking street thinking ‘i sex rachel green irock’ bam he’s father everything’s different,Negative,In Waves
well it’s different wants mean i’m notgonna ask anything,Negative,Bad Liar
don’t got…hehehehe’s hit bus,Negative,The Sound of Silence
hey joey would someone slept told thatshe pregnant,Negative,Schism
oh joey joey it’s didn’t get anybodypregnant,Negative,Somebody That I Used To Know
whoa wait minute who’s father,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
well guy huh ‘cause track downand kick ass,Negative,American Idiot
oh guy gym little annoying,Negative,I Bet My Life
well checked uh lost found talked managernoone’s turned,Negative,Bad Liar
well great y’know cameras thingthat gonna cheer monica today she’s really depressed,Negative,Middle Of A Breakup
guys got married depressed,Negative,Build God
energy going asking question can’tbelieve screwed,Negative,Middle Of A Breakup
suggesting dance troubles away,Negative,Orinoco Flow
don’t know monica picked flowers,Negative,Free Bird - Edit
phoebe father okay haven’t told yet idon’t think tell,Negative,Sign of the Times
phoebe freaked kept saying huge allis,Negative,Nightmare
know thinking huge ididn’t even go huge going father,Negative,YOUTH
shouldn’t even opened mean i—joey amout control joey favor matter say matter ido please let open another present okay,Negative,Monster
oh good uh you’re uh pheebs listen uh sit ii gotsomething want say,Negative,I Feel It Coming
she’s pregnant it’s rachel rachel’s onewho’s pregnant,Negative,Bleed
phoebe think would notice didn’t baby ninemonths,Negative,Royals
uh would take one us,Negative,Don't Panic
uh finger covering lens,Negative,Toxicity
ansel adams get outta,Negative,Duality
hey wait minute phoebe even know father,Negative,Chop Suey!
uhhuh turn around go rip thebandaid want,Negative,Royals
don’t go stage i’ll get picture youdoing speech,Negative,Smooth Criminal - 2012 Remaster
owner 1995 buick lesabre please see front desk caris towed,Negative,Monster
i’m sorry meant blue lesabre,Negative,Free Bird - Edit
rachel something wants tell umm believe thatthis red sweater,Negative,No Time for Caution
come rach let’s give another try,Negative,Can't Feel My Face
know know terrible person mean chandler never goingto trust anything ever,Negative,Ain't No Rest for the Wicked
well don’t know think something salami,Negative,Toxicity
yeah whatwhat tag say,Negative,Attention
oh wow didn’t even try unhook bra,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
ever gonna tell whoever,Negative,Attention
hey rach listen matter guy says want knowyou’re gonna alone,Negative,MONEY
huh didn’t see coming,Negative,Toxicity
wait stole people’s wedding,Negative,Bleed
huh yeah guess roommates,Negative,Pumped Up Kicks
yeah well brought fridge broken toget new one checked around half 400 thanks lot,Negative,Duality
i’m paying half i’m staying untilmy apartment gets fixed,Negative,Duality
look rach parents bought fridge born okay nowi,Negative,Roots
refrigerators don’t live long people,Negative,Hotel California - 2013 Remaster
right know atm lets take 300 atime i’ll take check hundred,Negative,Unsainted
course i’m jokin’ don’t take checks,Negative,Buni
oh i’m sorry thank chandler,Negative,Don't Panic
don’t know something either trees disease—ralph mumblesa lot,Negative,Bleed
y’know probably none business weren’t youguys supposed seen public together,Negative,Bleed
oops mean run like sir,Negative,Kaer Morhen
leaving school night lot ofhomework,Negative,Bad Liar
well y’know it’s long since i’ve,Negative,Kaer Morhen
thanks know guys like give hard time reallymeans lot like knowing guys are…,Negative,Yellow
oh that’s good guess she’ll choice guyand weirdo,Negative,New Rules
well guy spectacular okay he’s massage client onetime umm table looked mean,Negative,Starboy
right fine guy may great body guy reallyfunny,Negative,Hey Look Ma
well you…don’t look good joe,Negative,Don't Let The Light Go Out
fridge broke eat everything cold cuts ice creamlimes—hey brown jar,Negative,New Rules
anymore anyway want pay,Negative,Royals
look suppose divorced couple,Negative,Bad Liar
got custody kid right suppose kid dies andand igotta buy new kid,Negative,Middle Of A Breakup
oh sorry umm actually need talk,Negative,Immigrant Song - Remaster
