Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
ok listen i’ve sets let give littleadvice alright it’s show we’re dancing ok it’s big dealthe important thing remember – stay cool,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
got,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh god it’s like dreamed,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
ok everyone gather,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah question gonna air,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
uh yeah guys dance guys iwant two right around everyone else spread,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive
ross gonna air,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
okay look kitchen look back closet,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
save time ladies i’m right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
looking christmas presents monica,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah never find she’s always best us wilyminx,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Positive
don’t worry we’re gonna search hour themwe’re gonna go joey’s search ok,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
okay can’t look monica’s presents,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
well look us,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
chandler aren’t worried get monica forchristmas,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
great idea present,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
help find ‘em faster,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
that’s right,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
ooh ooh live one,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh it’s,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
ooh who’s,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
gonna find year,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yeah,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
okay comes another camera,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
keep,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
right,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
hey what’d guys get,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
learned dance,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh yeah well learned dance forget put onunderpants,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey you’re good dancer,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
really,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
like,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
that’s feel rhythm that’s better,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
nonononono came together,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Positive
nono hey buddy please let dance girl really like andi think shot,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yeah nothing worry cos theyre crap,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
gifts got,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
ohhh thanks chandler theyre great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
book ends thats great gift,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
ha,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
make sure put stuff back closet okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yes okay oh way gotta say think really nice ofyou even youve moved still keep storing stuff joey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
know,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey see snippy guy he’s one decides whogets platform go dance,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
okay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay everybody hold,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
hey tall guy hey listen wanted talk girl thatyou’re dancing,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Positive
she’s nice huh think almost brought wife tothis,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
yeah yeah okay uh look buddy came girl thisplan kiss new years countdown – i’m trying win iwas wondering,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Positive
oh come man dance partner she’s real uhmellow,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
look dating girl came,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Positive
well hoping tonight maybe could know…,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
hey know what’ll get us platform,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
really good,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay let’s mom dad gonna faced,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
5 6 7 8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh get exactly like,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
hey pal three seconds get away mypartner,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Positive
what’s going,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
uh take look guy’s pants mean know told us toshow excitement don’t think went little overboard,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
what’s matter get,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
yeah take hike wetpants,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
know hey haven’t practising routine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
okay comes whatever happenshappens destiny,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
three two one,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
year happy year,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
okay here’s go live shot times square nicework everyone that’s wrap,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey look found,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh hey guys,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
y’know birds good sense direction thoughtmaybe could help us find presents hidden,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
yes presents hidden south winter,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
alright could look,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
oh one’s,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh one’s chandler,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
big one’s,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
ooh let’s open,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
okay okay okay,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
whatever linus i’m opening mine,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
get us better gifts,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
fine,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
that’s got,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
oh yes see mean look priceless,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
joey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
oh yoii,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
really moment really wanted kiss moment,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Positive
moment yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
moment ya wanna kiss,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
3 2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
joey don’t count every time kiss,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
could,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
you’re tv,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
ok pretty much whats happened far ross love withrachel since know forever every time tried tell something kind ofgot way like cats italian guys finally chandler like forget abouther ross china dig,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Positive
great oh happened,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Positive
well start julie julie rachel,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
way,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
im telling went airport shes gonna go withross,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
oh god huge bigger huge like allright whats bigger huge,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yes yes thanks vidal buffay,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thats right rach got bags hi hello julie mysister monica chandler phoebe joey,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
everyone julie,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
gotta hear story,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
guy,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Positive
amazing mean happen,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
well ross grad school together,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
julie julie isnt great mean isnt justkickyouinthecrotch spitonyourneck fantastic,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
well wanted say quick hi gonna go see thebaby,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah really 600 tomorrow night time,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
well listen dont tell us whats gonna happen though cause liketo surprised,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
hey rach get coffee,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah sure,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thank,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey rach get,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
talk,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
yet,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
god,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Positive
pal,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
well maybe god,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
look right looks sees friend thats butthen met julie dont know havin great time say neverwouldve gone hadnt,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
well owe one big guy,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
silver lining,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Positive
really wanna see,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
pheebes know im thinking,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh ok long since youve sex youre wondering iftheyve changed,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
right thinking,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
well thinking gave guys great haircuts ithought maybe youd like mine,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
youre,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
ok hang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
okay,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
sweetie wanted,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
ok dont care guys say somethings bothering,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Positive
im still,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
whats goin,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
rachel happen,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Positive
apartment juice,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey paulo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
raquel,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
good im glad problem,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey chandler see frankie tell joey tribbiani says hellohell know means,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
sure hes gonna able crack code,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
right ok promise beall like controly bossy monica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Positive
promise,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
demi moore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
demi moore,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
well,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
thats dudley moore said wanted like demi moore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
oh oh,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
shes act,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh shes got gorgeous hair,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
got ok well inseam,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
soon tell shes resting good sign,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
hows hair,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
see,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
hair looks good think would upset ross dontyou come,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
howre,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
im okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
gotta tell ross feel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
come tell julie,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Positive
frankie whatre talking,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
way ive going guy 12 years,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
cupping,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
thank hair amused,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
well gotta go bye bye rach,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
yeah thats kinda meant bye,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
well talk sec,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
hey doctor hernia test,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
thats ok,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
really,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
deserve someone appreciates getshow funny sweet amazing adorable sexy know someone whowakes every morning thinking oh god,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
think whole,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
oh yeah oh,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
wanna right,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
thats rodney mcdowell andie mcdowell guyfrom,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
oh yeah ok thank,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
youre welcome,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
look going tell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
ross,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
okay let jump ask point think thiswas successful marriage,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
ross piece mind you’re married toanymore us ya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
yeah that’s drive make four bucks hour saved upfor 350 years,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
joey don’t put lost found,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
oh god fun day sounds great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
don’t worry phoebe we’ll absolutely,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
nice car,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yeah it’s mine,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
bet it’s fast,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yeah comfortable uh like leather seats,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
still boxes still boxes ross’s,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
well there’s idea,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
december 26,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
okay got us court date tomorrow 200 picked theforms i’ll take care everything,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
ross y’know got—why,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
look told you…,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
don’t wanna hear three failed marriages,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Positive
well y’know thanks i’m half way ugh ohi mad ross don’t think ever angry,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
pheebs how’s going,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
nope sound like pheebs it’s going great look chandlerwith little baby girl chandler,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay i’m rookie end zone,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
great exactly set plates therestaurant,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hey babies oh i’m best morning uh porschei’ve got keys still,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
equity investments,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
six others,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
yeah tops 130,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
wow,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
really got place upstate,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
sure,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
well i’ll see later,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
okay take easy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey that’s car,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Positive
it’s car,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
yeah it’s wax,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
i’m coming back,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Positive
live upstate,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
yeah,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah two hours lifetime that’s,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Positive
oh it’s cute wonder age stop ableto put legs head,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh still,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
still single,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
good made change mind,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Positive
happen,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
yes honor forms filled,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
well would know,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
oh come,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
dating consummated like bunnies,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
anything record actually true,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
well yes got married vegas uh names think,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Positive
found keys clothes,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
true,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah genius would swallow sonic blaster gun,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
right that’s we’re going emergency room,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Positive
i’m pretty sure it’s gun,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Positive
isn’t valet back porsche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
maybe you’ve got keys,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Positive
way could get,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
hi gellers,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
protected tornado,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Positive
phoebe happened,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Positive
took care babies,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
apartment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Positive
setting phoebe’s triumph,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
important fact phoebe took care babiesall,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
you’re right you’re right shouldn’t freak out‘cause happen babies,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Positive
oh little ‘x’s great makes everything,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay flew london stop wedding ah youtold loved,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Positive
hey wait minute different things wasin love,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Positive
yeah right,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay sign please,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
well y’know whole marriage thing kinda idea,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yeah,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
yeah don’t push though,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
i’ve got say know divorce lot women never thought iwould divorcing,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Positive
even treat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
house newlywed special,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey thanks ross taking care,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey hey careful around porsche,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
hey doin’,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey guys looking,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Positive
oh it’s poster world war movie i’m checkit,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah wow looks,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
cannot wait see,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
yeah yeah it’s already generating oscar buzz,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
started,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
gonna take limo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
sure,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh love taking limos nobody died,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
well obviously won’t able come whohaven’t checked calendars today due date well y’know wantto take moment thank guys great you’ve time ireally couldn’t done without,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh know i’ve remember toward end…,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
hey baby yet,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
early,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
hello,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
joey it’s estelle great news able get oneguest tickets premiere,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
one guest told six tickets,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
well sold four,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh god that’s get bring one guest,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
star movie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
really want take,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah yeah mean i’m sorry wish take everybody buty’know chandler always supported career he’s paid acting classes andhead shots stuff well way paying back,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
