Cleaned_Dialogue,Song Recommendations
hi,C'mon - Single Version
doctor say news baby come,Collar Full
it’s sex,Blinding Lights
monica,We Are Young (feat. Janelle Monáe)
right let’s practical ross isn’t willing ithe’s guy world sex borrowchandler—chandler good,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
today,Toxicity
okay fine keep betting phoebe you’re gonna babyand don’t want lose,Painkiller
i’ll take bet,You Just Haven't Thought of It Yet
get action,Smooth Criminal - 2012 Remaster
oh honey don’t worry really feel like tomorrow’s theday,Can't Hold Us (feat. Ray Dalton)
oh okay,I Feel It Coming
hey sleeping beauty,Blinding Lights
ahahah we’re okay got first set headshots right much,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
okay five hundred dollars else,The Ballad of Mona Lisa
please,E1 (3x3)
right else,New Rules
we’re still keeping hats,The Ballad of Mona Lisa
yes money well spent,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
yeah okay else rent,Smooth Criminal - 2012 Remaster
come finish enchilada,Hold
ross i—we tried spicy food it’s working,I Bet My Life
oh come ross we’ve done we’ll againit’ll nice way bookend pregnancy,You Just Haven't Thought of It Yet
make love girl,Bad Liar
always great way get man’s pants,Hey Look Ma
performing service okay justjust think ofme ketchup bottle y’know sometimes bang end justto get something come,Astronaut In The Ocean
love talk dirty,MONEY
okay enough going happen,Duality
y’know,There's a Good Reason These Tables Are Numbered Honey
i’m getting baby,Seven Nation Army
oh know,Not Afraid
good okay okay uh got pillow got bag got thekeys,Young Dumb & Broke
okay got keys okay okay,Levitating
we’re baby,Symphony (feat. Zara Larsson)
much,Bad Liar
two hundred,Royals
thank,Blinding Lights
rachel baby,Collar Full
they’re coffeehouse,Young Dumb & Broke
yknow ever go war you’re captured you’re,Nightmare
wow could everyone totally see robe,All We Know
yeah oh god,Cake By The Ocean
go,Don't Panic
great right i’ll call later,Body (Remix) [feat. ArrDee
would casey we’re going tonight,Sandstorm
things fine kathy i’m late dinner hertonight right early dinner casey,Hey Look Ma
big deal it’s like we’re exclusive,Bad Liar
look joey kathy clearly fulfilling emotional needs butcasey mean granted saw back head got sense thatshe’sshe’s smart funny gets,Can't Hold Us (feat. Ray Dalton)
got back head,Heaven and Hell - 2008 Remaster
who’s elaine,Toxicity
well umm y’know used play,Baby Blue - Remastered 2010
oh yeah that’s right keyboards huh,Bad Liar
yeah,Kaer Morhen
wanna hear sound,Collar Full
come play funky music white boy,C'mon - Single Version
yeah,Can't Feel My Face
okay guys,Lose Yourself
right bring you…,Dance Off (feat. Idris Elba & Anderson .Paak)
wow so—wow,Beautiful Alien (feat. AI AM) - Radio Edit
oh god bless dad sound proofing basement,Party Monster
oh can’t believe ever let touch fingers,Unsainted
guys talking loved soo moving oh plusit’s it’s different stuff usually hear,Really Love (feat. Craig David & Digital Farm Animals)
yeah know you’re thinkin’ yes yes breastsare firm juicy,Royals
come,Bugzy Malone
uh yes uh watch articles,Bleed
joey around,Don't Panic
happened,Toxicity
yeah,Kaer Morhen
oh,Heaven and Hell - 2008 Remaster
oh okay,Kaer Morhen
yeah think,Body (Remix) [feat. ArrDee
today,Calm Down
really,Beautiful Alien (feat. AI AM) - Radio Edit
really great hair,Sweet Child O' Mine
checking see it’s even,Bleed
‘kay,Lose Yourself
looks good,Pumped Up Kicks
hey it’s joey,Temperature
okay,Kaer Morhen
yeah yes yeah,Bugzy Malone
nonono kiss good,Young Dumb & Broke
okay,Paradise
okay wewe swallow feelings even means we’re unhappyforever sound good,Wrong
really,Heaven and Hell - 2008 Remaster
he’s best friend you’re seeing,Pull Me Under
chandler like joey lot you…,Hold
ii think,Bad Liar
okay bye,Kaer Morhen
oh i’m playing tonight,Don't Let The Light Go Out
oh god he’s even appreciated time would giveanything appreciated time,Wrong
sure,You Just Haven't Thought of It Yet
well thought it’d make feel good something nicefor friend,Hold
well you’re amazing,Symphony (feat. Zara Larsson)
oh best friends anyone ever,Us Against the World
ohnonono give great advice heylisten thinking said yesterday focusing one woman i’mgonna,You Just Haven't Thought of It Yet
nonono think i’m gonna see things go kathy she’spretty cool,E1 (3x3)
casey,Toxicity
could casey,Toxicity
kathy,Then We'll Talk
consider casey,Smooth Criminal - 2012 Remaster
hey really great really really great,Body (Remix) [feat. ArrDee
well kinda yeah yeah,Can't Hold Us (feat. Ray Dalton)
pheebs…,Hold
yeah okay,Don't Panic
hey chandler saw new furniture nice,Alors on danse - Radio Edit
yeah joey best boyfriend ever,Señorita
kissed kathy,Let Me Love You
serious,Chop Suey!
joey know,Chop Suey!
anyway,Rain
think maybe yeah,Hall of Fame (feat. will.i.am)
loves,Hold
well saidi said something phoebe,The Pot
yeah that’s right thought really good idea,Buni
know remember,Party Monster
remember,Confidence
well chandler you’re gonna tell,Astronaut In The Ocean
tell,Chop Suey!
yeah know,Toxicity
hey would okay wrote song,Enemy (with JID) - from the series Arcane League of Legends
hey,Snow (Hey Oh)
hey samboucha margarita,Enemy (with JID) - from the series Arcane League of Legends
real thing,Toxicity
well samboucha,Free Bird - Edit
what’s,Young Dumb & Broke
yeah broke,Build God
acting class first thought kindof scene that’s let people watch,Heaven and Hell - 2008 Remaster
well i’ve better i’m right like huh,Schism
nonono it’s uh it’s okay,Toxicity
yeah know ‘cause came first,Hall of Fame (feat. will.i.am)
see uh that’sthat’s actually wanted talk youabout ii think know guy,Dance Off (feat. Idris Elba & Anderson .Paak)
it’s i’m guy,Not Afraid
kissed,Señorita
cares went behind back would never,Rolling in the Deep
phoebe music could,Toxicity
yeah like could,Astronaut In The Ocean
yeah—no last song,I Write Sins Not Tragedies
lunch yeah sudden likehey yknow,Cake By The Ocean
uhh yeah,Toxicity
see thing umm we’re able y’know uh conceive,Wrong
we’ve tried everything we’ve seen bunch doctors,Build God
well youyou know meant,Attention
job get joe,Into the Unknown - Panic! At The Disco Version
oh ah tour guide museum yeah ross got,Paradise
great that’s great,Orinoco Flow
yeah pronounce jurassic,It's My Life
hey,Cake By The Ocean
god,goosebumps
serious,Chop Suey!
yeah,Calm Down
you’re really thinking sex brother,Heaven and Hell - 2008 Remaster
tell,Attention
well said think first tothink i’m gonna giving greatest gift possibly give,You Just Haven't Thought of It Yet
you’re gonna carrying baby give,Let Me Love You
honey really incredible thing arethings think,Toxicity
know,Fivio Foreign & Darkoo]
yeah what’s point,Royals
well stuff mentioned,Royals
wow don’t know could ever always figured thefirst time baby somebody love baby would a…keeper,Die For You
pheebs listen decide we’ll supportivelike crazy,Something Just Like This
yeah,Kaer Morhen
want think,Royals
mom never gave birth oh birth mom,Done for Me (feat. Kehlani)
oh yeah sure it’s mine anyway pants,Bad Liar
guys really right…there aren’t,Royals
yes right,Nearly Witches (Ever Since We Met...)
beginning y’know it’s sex talking sexand talking and…,Play with Fire (feat. Yacht Money)
yeah youyou gotta love talking,Paradise
sex,Bad Liar
oh chandler nice,A Million Dreams
really nice…lying way reason,B.Y.O.B.
you’re mature enough understand somethinglike,Toxicity
well kathy’s last boyfriend joey,High Hopes
yeah going metaphor,Not Afraid
yes saying actual words,New Rules
share wall either he’s great bed likesto agree lot,Young Dumb & Broke
sweetie it’s gonna different sex gonna begreat ‘cause youyou guys love,Sugar Soaker
yeah,Not Afraid
yeah,Body (Remix) [feat. ArrDee
go chandler,Moves Like Jagger
yeah,Whatever It Takes
yeah really,Titanium (feat. Sia)
go,Dance Off (feat. Idris Elba & Anderson .Paak)
right right i’ll go sleep girlfriend buti’m guys,Psychosocial
okay mastodon semilate jurassic period,The Ballad of Mona Lisa
it’s open come,E1 (3x3)
hi,Orinoco Flow
oh that’s okay gave time finish glazing nipples,Lose Yourself
wow really go you’re expecting company,Cake By The Ocean
working pottery,In Waves
well yeah mostly nudes combines two passions pottery anderotica,E1 (3x3)
hey okay well thanks coming see justi justthought would good idea talk baby stuff persony’know…,I Feel It Coming
okay,Don't Panic
oh nono understand pain don’tdon’t hurt thepuppy,Heathens
oh get puppy,Someone In The Crowd
uhh mind sitting i’mi’m saving myfriend ross,Attention
that’s way,Don't Panic
it’s big deal hey y’know gotta right,Calm Down
it’s like everywhere joey okay mon back whereyou work uh waiters eat waiters right chefs eat otherchefs right,Whatever It Takes
hi,Young Dumb & Broke
phoebe singing carl mulden,Bonfire
yes yes sex,Young Dumb & Broke
well first time y’know there’s always lotof agreement first time,Toxicity
it’s kind important one,Sandstorm
well go,I Dunno (feat. Dutchavelli & Stormzy)
thank dr phillips i’m lunch table herein middle i’m lunch right good friend joey he’llsit,Hold
right go,I Feel It Coming
yeah hang teddy,Titanium (feat. Sia)
okay goodgood,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
wow rhonda,Cake By The Ocean
i’m scott,Lose Yourself
yeah okay scott,Levitating
ooh okay,Don't Panic
oh he’s cute reminds old dog tumour,Perfect
precious could take home,Let Me Love You
hey don’t,Dance Off (feat. Idris Elba & Anderson .Paak)
uhhuh yeah,Bugzy Malone
oh thanks,Pumped Up Kicks
it’s gonna great,Orinoco Flow
oh ii gave puppy made happy decidedi’m gonna carry baby,Symphony (feat. Zara Larsson)
phoebe…,Wrong
oh,Bonfire
asked,The Ballad of Mona Lisa
oh mon sure,Young Dumb & Broke
really,Immigrant Song - Remaster
yes totally,Levitating
i’m dinner dad tomorrow night wanna come,Someone In The Crowd
sure yeah he’s kinda sexy,Temperature
oh i’ll,Dance Off (feat. Idris Elba & Anderson .Paak)
okay we’ll come kind signal it’sgoing well take,Hotter Than Hell
oh,Don't Panic
oh rachel ‘papa don’t preach’,All We Know
wow oh well,Thunder
thank,Young Dumb & Broke
bachelorette party,Beautiful Alien (feat. AI AM) - Radio Edit
it’s grand tradition,Orinoco Flow
went home waitress,We Are Young (feat. Janelle Monáe)
oh yeah pretty good night,Alors on danse - Radio Edit
rachel,Savage Love (Laxed - Siren Beat)
it’s okay what’s gonna happen i’m gonna waita couple years baby tell,You Just Haven't Thought of It Yet
well… umm got,Bleed
what’s,Free Bird - Edit
phoebe,Señorita
well uh yes except sum yeah,Bad Liar
that’s true,Lose Yourself
yeah,Hall of Fame (feat. will.i.am)
really cool seeing lecture today,Can't Feel My Face
oh thanks although kinda seemed like falling asleep alittle,Bad Liar
oh nono ii eyes closed could concentrate y’knowtake,Say It Louder
yeah lot students,Not Afraid
okay ii’ll see tonight,The Ballad of Mona Lisa
okay bye,Lose Yourself
god must good bed,Hotter Than Hell
ah it’s good it’s going good mean get along greatshe’s she’s so…,Young Dumb & Broke
hot,Free Bird - Edit
well gonna say sweet yeahhuh,Smooth Criminal - 2012 Remaster
she’s okay rachel baby,Young Dumb & Broke
well honest otherwise may think thatyou’re going path you’re really going different ones,Whatever It Takes
yeah got number guy work hired stripper tocome dance going wife hall fame,Blinding Lights
let lady talk,American Idiot
come come it’ll fun it’ll make feel muchbetter,Sandstorm
right fine i’m,Killing In The Name
yeah,C'mon - Single Version
joey,Toothbrush
thank right else want invite,Often
it’s lafite ’74 latour actually drinking quite nicely,Hall of Fame (feat. will.i.am)
right comes i’m gonna i’m gonna tellhim i’m gonna strong,The Ballad of Mona Lisa
called friend mine,I Feel It Coming
yeah,Immigrant Song - Remaster
think may able book,Can't Hold Us (feat. Ray Dalton)
really,Trndsttr
sweetie,Sweet Child O' Mine
there’s gonna wedding ross getting married,Ain't No Rest for the Wicked
oh daddy stay calm please,MONEY
look look let’s pretend it’s real bachelor party okayy’know wedding come it’ll fun,Enemy (with JID) - from the series Arcane League of Legends
okay can’t believe tomorrow’s big day,Enemy (with JID) - from the series Arcane League of Legends
you’re right fun,Snow (Hey Oh)
hi,Can't Feel My Face
one lucky boys chandler,Someone In The Crowd
that’s,Young Dumb & Broke
joey tribbiani big fan,Symphony (feat. Zara Larsson)
yeah yeah right,Body (Remix) [feat. ArrDee
she’s a…,Cotton Eye Joe
yeah that’s one naked hooker,Beautiful Alien (feat. AI AM) - Radio Edit
oh wow you’re dinosaurs,Savage Love (Laxed - Siren Beat)
much,People of The Pride
y’know actually great time,I Write Sins Not Tragedies
wh…,Bleed
maybe monica’s playing joke ya y’know getting ownhusband hooker that’s pretty funny,Immigrant Song - Remaster
could kept,I Don’t Wanna Live Forever (Fifty Shades Darker)
tonight’s night big bachelor party,Enemy (with JID) - from the series Arcane League of Legends
yeah hey thanks getting girl’s number,Alors on danse - Radio Edit
husband,Young Dumb & Broke
she’s stripper,Don't Panic
either she’s best expensive date ever,Often
would,Bleed
minute,Bleed
hey it’s bachelor party,C'mon - Single Version
well we…we still hang,Young Dumb & Broke
like used remember used inseparabley’know it’s like…things different,Disintegration - 2010 Remaster
well y’know things different i’m…i’m marriednow,Paradise
yeah miss tell we’ll maketime hang,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
dad dropped he’s pleasant man,A Million Dreams
right promise i’ll fix sweari’lli’lli’lli’ll talk,Whatever It Takes
okay,I Feel It Coming
okay,Don't Panic
thank,A Million Dreams
thank much coming back,Savage Love (Laxed - Siren Beat)
know mona hear first i’m sorry myfather yelling heard totally held you’re gonna totell,Titanium (feat. Sia)
focus,It's My Life
okay um…but—okay yes ross used date yes aregonna baby,Cotton Eye Joe
sure,Not Afraid
oh just—we drove crazy,Bad Liar
mean possessive jealous could never let thelittle things go,Symphony Of Destruction - Remastered 2012
could narrate,Bleed
hour ago,Don't Panic
wanna go see movie,Enemy (with JID) - from the series Arcane League of Legends
hey,We Are Young (feat. Janelle Monáe)
twenty couple people work something else,Don't Panic
mom’s gonna,Middle Of A Breakup
god,goosebumps
well don’t don’t mother often forget thatother people…,Schism
mother coming baby shower,I Bet My Life
okay y’know don’t worry okay we’ll take care ofit we’ll call go home get ready,Often
please make sure comes it’s really important meanit’s mom,Really Love (feat. Craig David & Digital Farm Animals)
know know what’s number,Smooth Criminal - 2012 Remaster
oh hello monica,A Million Dreams
dear inviting lying,Rolling in the Deep
well right i’ll see four,Hall of Fame (feat. will.i.am)
hey joe wanna shoot hoops,Levitating
oh cool,We Are Young (feat. Janelle Monáe)
that’s great,Young Dumb & Broke
you’ll perfect that’s already name,Fivio Foreign & Darkoo]
oh really that’d great guys contestants,C'mon - Single Version
awesome,Waterloo
right uhh okay first contestant ross geller don’tyou tell us little something ross,Don't Panic
excellent let’s play bamboozled chandler you’ll go firstwhat capital columbia,Body (Remix) [feat. ArrDee
bogota,Collar Full
wicked wango card,Into the Unknown - Panic! At The Disco Version
oh told stripper five that’s good right,Lose Yourself
hi,Can't Feel My Face
i’m glad could make,Safe To Say
yes thank much we’re sorry could notfeel worse,Nothing Else Matters
sweet woman,Young Dumb & Broke
well however great can’t afford,Wrong
oh rachel,Yellow
greatest idea i’m gonna come live,C'mon - Single Version
oh i’m happy i’m gonna little girl awlook tears eyes,Let Me Love You
yes yes,Bugzy Malone
wheel friend tonight joey uh i’ll take anotherquestion,Killing In The Name
it’s okay i’m ready,Moves Like Jagger
dude gotta hold breath you’re ready answer thequestion,Paranoid - 2012 - Remaster
let see,Take on Me
it’s possible really sharp edges,Lose Yourself
right chandler you’re,The Ballad of Mona Lisa
game makes sense,Bad Liar
youyou must choose mr bing,Don't Threaten Me with a Good Time
either makes difference,Bleed
i’ll take card,Free Bird - Edit
okay picked gimmie card get ross’s points,ZT (3x3)
game kinda fun,Snow (Hey Oh)
invite mother,Friction
personally would honored wanted live,Señorita
guys come going,Monster
you’re right you’re right mean i’m ababy tell mother don’t want sleeping couch ohmy god she’s gonna want sleep bed cannot happen,Monster
that’s right right go tell youdon’t want live,The Pot
new respect chandler right everybody it’s time toopen presents,Levitating
yes yes,Can't Feel My Face
well kinda eight weeks,You Just Haven't Thought of It Yet
oh yeah okay see mom truth,It's My Life
sweetheart know you’re gonna terrific mom thinkyou need little help especially beginning,Whatever It Takes
mom really know i’m handle,Royals
really remember twinkles,Take Me Back To London (Sir Spyro Remix) [feat. Stormzy
oh look,Cake By The Ocean
wow,Savage Love (Laxed - Siren Beat)
okay friend work,Often
darling that’s breast pump,Toxicity
say done guessing okay thank oh wowwhat’s,Beautiful Alien (feat. AI AM) - Radio Edit
it’s diaper genie,Young Dumb & Broke
oh you’re gonna ten times day,Duality
goes ten times day feeding baby indianfood,Duality
dear that’s babies,Location
rachel listen mother smart,Girls / Girls / Boys
it’s actually bassinet,Not Afraid
correct there’s possible backwards bonus,Rock You Like A Hurricane
madre sierra treasure,Enemy (with JID) - from the series Arcane League of Legends
yes,Snow (Hey Oh)
i’d like go ladder chance golden mud hutplease,Thunder
wise choice many rungs,Dance Off (feat. Idris Elba & Anderson .Paak)
six,Sandstorm
yes yes you’re back lead,Orinoco Flow
i’d like spin wheel,Enemy (with JID) - from the series Arcane League of Legends
right right uh umm superspeedy speed round,Enemy (with JID) - from the series Arcane League of Legends
hopping bonus,Sandstorm
course,Pumped Up Kicks
invented bifocals,Don't Panic
ben franklin,Hey Look Ma
correct monarch ruled great britain longest,The Ballad of Mona Lisa
queen victoria,Not Afraid
noooo every time,Hurricane
chandler,I Dunno (feat. Dutchavelli & Stormzy)
i’d like google card,Sandstorm
sure,Lose Yourself
oh god congratulations ross chandler you’ve beenbamboozled,Savage Love (Laxed - Siren Beat)
yeah,Snow (Hey Oh)
best game ever,Can't Feel My Face
course,You Just Haven't Thought of It Yet
okay,Not Afraid
hey red sweaty,Sugar
wow looks like got lot good stuff,Cake By The Ocean
oh mom got us greatest gift,Let Me Love You
she’s going live us eight weeks,C'mon - Single Version
what—you’re serious mean she’s nice womanbut way take eight weeks she’ll drive us totally crazy,Bad Liar
hey joey hi i’m ray i’m producer show,Bugzy Malone
whenever you’re ready,Don't Panic
wayne gretzky,Can't Hold Us (feat. Ray Dalton)
well what’s complicated spin wheel mayhem go theladder chance go past mud hut rainbow ring get goldenmonkey yank tail boom you’re paradise pond,Old Town Road
well there’ll women bikinis holding scores,Thunder
…and dinosaur nickknacks ross thoughtthey might home garage,Bleed
y’know maybe mrs green it’s absolutely vital thatyou live us,Bleed
i’mi’m sure that’s true,Royals
thing,Don't Panic
that’s true another child,Pumped Up Kicks
yeah,Don't Panic
you’re gonna great father,Let Me Love You
hello still don’t know hell i’m,Toxicity
hope you’re going somewhere,Royals
look what—you’reyou’re big executive aremuch capable give credit ii doubt you’re gonnabe incredible mother,Fivio Foreign & Darkoo]
really,Beautiful Alien (feat. AI AM) - Radio Edit
i’m telling,Royals
right two i’m gonna get going,Astronaut In The Ocean
nothing apologized like million times she’sbeen,Hurricane
y’know you’reyou’re right,Not Afraid
that’s right maybe it’s time took good hard look amirror young lady…old lady…lady,Royals
fantastic i’m proud,Waterloo
yeah i’m proud,Hall of Fame (feat. will.i.am)
got,Temperature
sure,Hall of Fame (feat. will.i.am)
yes i’ve done studying really know stuff,Calm Down
excellent put baby nap,ZT (3x3)
excellent excellent nownow want another question wickedwango card,Buni
ready,The Ballad of Mona Lisa
yeah,Hall of Fame (feat. will.i.am)
okay,Kaer Morhen
hi,Don't Panic
rachel,Smooth Criminal - 2012 Remaster
and…,Bleed
phoebe’s,Hold
please,Mr. Brightside
right lets switch,Lose Yourself
good words ok fine fine switch,New Rules
hi…,Free Bird - Edit
everybody…,Starboy
its…,Free Bird - Edit
rachel…,Speed of Sound
phoebe’s…,LA Devotee
oh youre ordinary roommate,Kaer Morhen
really,Beautiful Alien (feat. AI AM) - Radio Edit
yeah itll fun well run park itll like firsty’know roommate bonding thing,Can't Feel My Face
okay lets go running,Enemy (with JID) - from the series Arcane League of Legends
yeah theres really cute guys,E1 (3x3)
ok,Orinoco Flow
right wait one second hi phoebe rachelsplease leave message thanks,A Million Dreams
uhhuh youve met match rachel green,No Time for Caution
finished fascinating book year 2030 therell becomputers carry amount functions actual human brain sotheoretically could download thoughts memories computer andandandlive forever machine,Thunder
hey,We Are Young (feat. Janelle Monáe)
oh,Bleed
yes im ross great computer story foryou,Sandstorm
hey everybody uh id like meet janine shesshes gonna mynew roommate,C'mon - Single Version
hi,Don't Panic
hi,A Million Dreams
yeah shes gonna live,Orinoco Flow
nice meet janine,I Feel It Coming
lecroix janine lecroix,The Ballad of Mona Lisa
australia moved couple weeks ago,Enemy (with JID) - from the series Arcane League of Legends
im dancer,Moves Like Jagger
youre dancer sheshes dancer,Savage Love (Laxed - Siren Beat)
course,Lose Yourself
move,Thunder
thank bringing lives,"Circle of Life (From ""The Lion King"") - From ""The Lion King"" Soundtrack"
oh like chandler,Really Love (feat. Craig David & Digital Farm Animals)
hey look boxes,Trndsttr
yeah yeah man dont mean date thenthenthen cantdate,Bad Liar
oh god yeah,Alors on danse - Radio Edit
oh oh youre right dont want cant date,B.Y.O.B.
little sad sweetheart,Bohemian Rhapsody
also album,Summer Of '69
youre right youre right tell truth,Royals
would,I Don’t Wanna Live Forever (Fifty Shades Darker)
well see,Cotton Eye Joe
boy hard laugh tell ya hey hey place looksgreat,C'mon - Single Version
look like im,New Rules
‘kay first attitude helping,Bad Liar
whoa hello,Beautiful Alien (feat. AI AM) - Radio Edit
gonna recognize nice thing andand appreciate,Often
hey mon hows going,Paradise
well hanging ross,Calm Down
ok well well move coffee table closer couch,Not Afraid
whoa whoa whoa coffee table wont centered theseating area,Bad Liar
hey ive married 3 times,Don't Let The Light Go Out
thats specific girls,Free Bird - Edit
great great else else,Enemy (with JID) - from the series Arcane League of Legends
dont like keep asking like,Bleed
man im lucky monica,Young Dumb & Broke
hey phoebe talk second,Don't Panic
sure,Hall of Fame (feat. will.i.am)
done,Chop Suey!
care,Bleed
theyre people,Kaer Morhen
yes still theyre people…with eyes,Skyfall
okay lamp place,Bad Liar
cares repel women,Middle Of A Breakup
ii show chandler something,Bad Liar
thing chandler,Toxicity
bye thank god,Alors on danse - Radio Edit
really whatd ya,Collar Full
hey joey got beer,C'mon - Single Version
right right lets get open okay yourehot im lovable clearly theres vibe going us roommates andits huge mistake us continue road,Treat You Better
joey,Often
well dont think anything mean think yourereally sweet im interested like,The Sound of Silence
oh,Collar Full
mean youre really nice guy im happy roommateand friend im yknow dont feel,Ain't No Rest for the Wicked
oh see happened trying repel rightbelieve youd feel lot different turned,Chop Suey!
im ok,Hall of Fame (feat. will.i.am)
oh dear god,Heaven and Hell - 2008 Remaster
oh honey im sorry right feels great,Levitating
okay come,Smooth Criminal - 2012 Remaster
everything different,Rain
course,Body (Remix) [feat. ArrDee
oh well youre best come,Hold
live forever machine,Can't Feel My Face
yeah gotta go,Free Bird - Edit
look would guys grow natural beautiful thing inthe world,Yellow
son lunch ok gonna happen lot youd betterget used problem youre uncomfortable askquestions carols fine come,It's My Life
carol,Heaven and Hell - 2008 Remaster
sure,Don't Panic
first anymore,Unsainted
chandler,Heaven and Hell - 2008 Remaster
thanks,Don't Panic
oh listen guys friend,Smooth Criminal - 2012 Remaster
great,Young Dumb & Broke
hey sweetums,Let Me Love You
hello rest,Not Afraid
hi,Snow (Hey Oh)
monica whatre doin cant go shopping aboutrachel,Bleed
come youre going,Smooth Criminal - 2012 Remaster
im,New Rules
yeah uh actually big deal,Hall of Fame (feat. will.i.am)
big deal great monica really appreciate,Safe To Say
youre welcome,Young Dumb & Broke
hey joey hear new guy,Bonfire
whats doin section,Symphony Of Destruction - Remastered 2012
yeah bijan men,The Ballad of Mona Lisa
phoebe listen shopping day,Fivio Foreign & Darkoo]
shopping lunch,Take on Me
oh right,Bad Liar
oh wonder dont feel full,Bleed
went shopping monica day salad,I Feel It Coming
good pheebs whatd buy,Blinding Lights
bought boobs,Bleed
oh actually sorta plans,Bleed
ok funny clown funny clown naps notbefore naps wont sleep,Bad Liar
carol weve ok good time laughwe play like father son,Baby Blue - Remastered 2010
oh cute,Let Me Love You
oh got,Often
mommies love thats clever,Hold
say hi jew,The Hills
yes uh yes friend eddie moskowitz yeah likesit reaffirms faith,E1 (3x3)
ben dinner,I Dunno (feat. Dutchavelli & Stormzy)
licked arm,Bleed
hey everybody,Bleed
took ben park whereve,Attention
lunch little quality time thanksfor jacket,Often
okay,Free Bird - Edit
excellent excellent question excellent,Boss Bitch
judy,Not Afraid
jody,C'mon - Single Version
julie,Don't Panic
oh oh god,Beautiful Alien (feat. AI AM) - Radio Edit
true,Duality
ok monica know one thing go,Nearly Witches (Ever Since We Met...)
fun,Sandstorm
carol theres nothing wrong dont thinkbreast milk adults,Toxicity
course packaging appeal grownups kids alike,Can't Feel My Face
come doesnt taste bad,Hall of Fame (feat. will.i.am)
yeah kinda sweet sorta like uh,Young Dumb & Broke
cantaloupe juice,High Hopes
exactly,Not Afraid
oh youve tasted,Houdini (feat. Swarmz & Tion Wayne)
keep saying wont stop true,It's My Life
howdy,Sunrise
well maybe way youre dressed,I Write Sins Not Tragedies
yeah guess youre right,Young Dumb & Broke
right go see miss kitty shell fix nicehooker,Bad Liar
well works good im listening,Toxicity
yes,Toxicity
look know youre place right really need tohate julies guts didnt anything wrong mean girl met aguy go really think gave chance youd like herwould give chance,Bad Liar
heard ya,Kaer Morhen
right everybody im openin doors boys ready,Dance Off (feat. Idris Elba & Anderson .Paak)
ready,I Made It
yeah im ready,Rock You Like A Hurricane
really,Cotton Eye Joe
oy,Bad Liar
thanks hey listen would like go movie sometime orsomething,Body (Remix) [feat. ArrDee
yeah thatd great id love,Alors on danse - Radio Edit
right julie,Hall of Fame (feat. will.i.am)
hey you’re going believe made joke sent itin,Cake By The Ocean
funny also funny made,Pumped Up Kicks
yes told dan work said funniestjoke he’d ever heard,E1 (3x3)
hey tell dan ‘thanks’,Adventure of a Lifetime
monica remember telling joke right,Young Dumb & Broke
seriously,Bleed
well tell lot jokes,Often
dude got turn,Sandstorm
let’s go watch place,Someone In The Crowd
chandler chandler y’know go outand get new sunglasses,Enemy (with JID) - from the series Arcane League of Legends
that’s,Don't Panic
chandler look forget okay look know things alittle tight since janine moved oh hot,Chop Suey!
whoa ho,Rock You Like A Hurricane
sure,Not Afraid
much,Kaer Morhen
looking,Hey Look Ma
see would date girl she’s cute she’soutdoorsy know knows build fire mean that’s got come inhandy,Alors on danse - Radio Edit
rachel,Someone In The Crowd
yeah,Not Afraid
know barracuda first song learned play keyboard,Alors on danse - Radio Edit
well going stick atm think i’ll showthe sexy teller published writer,Moves Like Jagger
oh going follow,Symphony Of Destruction - Remastered 2012
yeah,ZT (3x3)
well want work,Not Afraid
okay money’s good plus get stare rachel asmuch want,Calm Down
flexible hours,Calm Down
that’s good idea,Sparks
picking rachel,Someone In The Crowd
it’s coming living room,Don't Panic
monica,Heaven and Hell - 2008 Remaster
guess kinda funny,Pumped Up Kicks
okay you’re right you’re easygoing you’re justnot easygoing rachel she’s flexible andand mellow that’sall,I Bet My Life
ya know rachel … she’ll whatever wanty’know walk,Middle Of A Breakup
know wanna go eat,Paradise
oh oh love japanese place,Let Me Love You
right wherever wanna go cool,Hall of Fame (feat. will.i.am)
right,Hall of Fame (feat. will.i.am)
uh yeah i’ll take coffee thanks man,Pumped Up Kicks
thank,Kaer Morhen
i’d love ice water,Pumped Up Kicks
got,Hey Look Ma
joey,Toxicity
joey work,Cotton Eye Joe
hey waiter,Astronaut In The Ocean
yeah,Lose Yourself
come joey fine,Calm Down
thanks rach look guys terrific y’know howabout clearing get new customers it’s turnover,It's My Life
joey seriously get coffee,Killing In The Name
phoebe would like talk second,Beautiful Alien (feat. AI AM) - Radio Edit
okay,Don't Panic
you’re you’re okay flaky,Build God
yeah totally,Young Dumb & Broke
well i’m okay high maintenance,Young Dumb & Broke
yeah okay pushover,Psychosocial
that’s great good guys,Alors on danse - Radio Edit
high maintenance,New Rules
said,New Rules
that’s whole part,Bleed
okay i’ll see hour,Don't Panic
believed saving seat someone,Toxicity
you’d hire right,Smooth Criminal - 2012 Remaster
exactly right everybody listen coffeehouse going beclosed hour,Dance Off (feat. Idris Elba & Anderson .Paak)
yeah it’s kids keep kids drugs it’s veryimportant issue month’s,Can't Hold Us (feat. Ray Dalton)
hey mon,Young Dumb & Broke
okay okay help us decide whose joke,Bad Liar
